V4	Fisher_dis2_11_r1_pr_counts	Fisher_dis2_11_r1gb_counts	Fisher_dis2_11_r1term_counts	Fisher_dis2_11_r1pr_map	Fisher_dis2_11_r1gb_map	Fisher_dis2_11_r1term_map	Fisher_dis2_11_r1pr_density	Fisher_dis2_11_r1pr_densityRPKM	Fisher_dis2_11_r1gb_density	Fisher_dis2_11_r1gb_densityRPKM	Fisher_dis2_11_r1pause_index_CI_low	Fisher_dis2_11_r1pause_index_CI_high	Fisher_dis2_11_r1pause_index_scaled	Fisher_dis2_11_r1pause_index_CI_low_scaled	Fisher_dis2_11_r1pause_index_CI_high_scaled	Fisher_dis2_11_r1_ExpPR	Fisher_dis2_11_r1_ExpGB	Fisher_dis2_11_r1Fexact_Pval
SPAC1002.01	39	76	89	100	481	300	0.39	101.220485469021	0.158004158004158	41.008352767448	0.342480113668919	0.766984174622851	2.46828947368421	1.6473293467475	3.68919387993591	18	121	0.516184117909603
SPAC1002.02	46	125	43	100	837	300	0.46	119.388264912178	0.149342891278375	38.7604101449854	0.258681085962012	0.522266559195039	3.08016	2.16516068950204	4.37137110046248	18	128	0.000622735080252657
SPAC1002.03c	16	438	59	100	2955	300	0.16	41.5263530129316	0.148223350253807	38.4698447962437	0.0214119064478662	0.0613592040738175	1.07945205479452	0.632721835534447	1.81316448038131	14	102	1
SPAC1002.04c	32	114	22	100	641	300	0.32	83.0527060258631	0.177847113884555	46.1583877093818	0.185924974997291	0.421867812517279	1.79929824561403	1.19177908973263	2.70417267823576	19	113	1
SPAC1002.05c	8	231	183	100	2086	300	0.08	20.7631765064658	0.110738255033557	28.7409741909971	0.0158955256177511	0.0721977613178428	0.722424242424242	0.331580664386288	1.5060453010902	10	98	1
SPAC1002.06c	13	12	14	100	311	300	0.13	33.7401618230069	0.0385852090032154	10.0143938134079	0.465249624666119	2.5291172322526	3.36916666666667	1.44692633271163	7.86555459230557	4	109	1
SPAC1002.07c	16	68	33	100	1084	300	0.16	41.5263530129316	0.0627306273062731	16.2810885890184	0.131266369857099	0.416112427435744	2.55058823529412	1.42292744925095	4.51065871340347	6	110	1
SPAC1002.08c	56	257	51	100	1783	300	0.56	145.34223554526	0.144139091418957	37.4098174576676	0.161429367140458	0.293512548936799	3.88513618677043	2.87828561611437	5.23332874754313	19	137	8.86995579594232e-09
SPAC1002.09c	5	816	34	100	2132	300	0.05	12.9769853165411	0.382739212007505	99.3360226857181	0.00224930271943224	0.0152478826453358	0.130637254901961	0.0479551339782955	0.32508485799856	29	76	1
SPAC1002.10c	13	89	79	100	1806	300	0.13	33.7401618230069	0.0492801771871539	12.7901627150848	0.0779251733724382	0.268424338076757	2.63797752808989	1.40732863110623	4.84774354566623	5	108	1
SPAC1002.11	15	255	106	100	1871	300	0.15	38.9309559496233	0.136290753607696	35.372862166948	0.0336344726562193	0.101149944919731	1.10058823529412	0.629300983397863	1.89251546944816	13	102	1
SPAC1002.12c	64	258	39	100	1692	300	0.64	166.105412051726	0.152482269503546	39.5752034476077	0.186838335388327	0.328804538126511	4.19720930232558	3.16130463477049	5.56337278510057	21	143	3.76544580674601e-11
SPAC1002.13c	271	4555	806	100	1829	300	2.71	703.352604156528	2.4904319300164	646.36597175336	0.0525285692328536	0.0673709377250312	1.08816465422612	0.960747531268891	1.23221445099082	264	107	1
SPAC1002.14	13	223	125	100	1485	300	0.13	33.7401618230069	0.15016835016835	38.9746495028777	0.0318760061781746	0.104398234746434	0.865695067264574	0.473358691745894	1.55031378598455	14	99	1
SPAC1002.15c	4	235	9	100	2754	300	0.04	10.3815882532329	0.0853304284676834	22.1466343455858	0.00540382943888812	0.0472880583831526	0.468765957446808	0.148821462746979	1.30231312787202	8	96	1
SPAC1002.16c	6	137	7	100	1906	300	0.06	15.5723823798493	0.0718782791185729	18.6552674539993	0.0174700418736508	0.102625061410636	0.834744525547445	0.332978998111785	1.95603367048672	7	99	1
SPAC1002.17c	11	2195	327	100	990	300	0.11	28.5493676963905	2.21717171717172	575.444096359753	0.00263158182786611	0.00928176069163744	0.0496127562642369	0.0260526600958744	0.0918894308472107	76	35	1
