V4	Fisher_dis2_T316D_r2_pr_counts	Fisher_dis2_T316D_r2gb_counts	Fisher_dis2_T316D_r2term_counts	Fisher_dis2_T316D_r2pr_map	Fisher_dis2_T316D_r2gb_map	Fisher_dis2_T316D_r2term_map	Fisher_dis2_T316D_r2pr_density	Fisher_dis2_T316D_r2pr_densityRPKM	Fisher_dis2_T316D_r2gb_density	Fisher_dis2_T316D_r2gb_densityRPKM	Fisher_dis2_T316D_r2pause_index_CI_low	Fisher_dis2_T316D_r2pause_index_CI_high	Fisher_dis2_T316D_r2pause_index_scaled	Fisher_dis2_T316D_r2pause_index_CI_low_scaled	Fisher_dis2_T316D_r2pause_index_CI_high_scaled	Fisher_dis2_T316D_r2_ExpPR	Fisher_dis2_T316D_r2_ExpGB	Fisher_dis2_T316D_r2Fexact_Pval
SPAC1002.01	17	35	21	100	481	300	0.17	129.015806713072	0.0727650727650728	55.2226150783602	0.261282885436092	0.894756552866374	2.33628571428571	1.2567706789476	4.30377901928726	7	110	1
SPAC1002.02	8	83	33	100	837	300	0.08	60.7133208061515	0.0991636798088411	75.2569538069082	0.0432523853261741	0.205854403667958	0.806746987951807	0.362022465180077	1.72300135870081	9	99	1
SPAC1002.03c	4	178	17	100	2955	300	0.04	30.3566604030757	0.0602368866328257	45.7147677812816	0.00711390126320129	0.062633097062372	0.664044943820225	0.210215782327598	1.85080801819309	5	99	1
SPAC1002.04c	4	57	11	100	641	300	0.04	30.3566604030757	0.0889235569422777	67.4855554982573	0.0216750537613993	0.201163656118787	0.449824561403509	0.138937094610569	1.28945903572142	8	96	1
SPAC1002.05c	3	68	41	100	2086	300	0.03	22.7674953023068	0.0325982742090125	24.7393684972333	0.0110979033367924	0.145026314826846	0.920294117647059	0.231502263605488	3.025248927288	3	100	1
SPAC1002.06c	2	14	10	100	311	300	0.02	15.1783302015379	0.045016077170418	34.1634441835257	0.0224451794089099	0.655283897988541	0.444285714285714	0.0698045079617099	2.03793292274436	4	98	1
SPAC1002.07c	1	31	6	100	1084	300	0.01	7.58916510076893	0.0285977859778598	21.7033319302433	0.00163609062693161	0.219484423903823	0.349677419354839	0.0177352223959387	2.37921115511744	2	99	1
SPAC1002.08c	23	75	16	100	1783	300	0.23	174.550797317685	0.0420639371845205	31.9230164081699	0.186909269871306	0.49950224279047	5.46786666666667	3.33259228180539	8.90612498895409	4	119	4.66561333574346e-05
SPAC1002.09c	0	209	39	100	2132	300	0	0	0.0980300187617261	74.3965997214215	0.000435344769192426	0.0230147343920066	0	0.00928155047918252	0.49067413723758	8	92	1
SPAC1002.10c	1	20	27	100	1806	300	0.01	7.58916510076893	0.0110741971207087	8.40439103075187	0.00249697159993946	0.349045314408539	0.903	0.0450953070949066	6.30375837821822	1	100	1
SPAC1002.11	0	90	36	100	1871	300	0	0	0.0481026189203634	36.505871676601	0.00101239357055047	0.0537536843252837	0	0.0189418837049992	1.00573143372606	4	96	1
SPAC1002.12c	18	51	5	100	1692	300	0.18	136.604971813841	0.0301418439716312	22.8751430342326	0.198839174090937	0.620234622715066	5.97176470588235	3.36435882561866	10.4943698163389	3	115	0.000571404060951032
SPAC1002.13c	40	1452	302	100	1829	300	0.4	303.566604030757	0.793876435210498	602.485933642236	0.019850929863712	0.0380802366085767	0.503856749311295	0.363073507207292	0.696487527570869	61	79	1
SPAC1002.14	5	83	38	100	1485	300	0.05	37.9458255038447	0.0558922558922559	42.4175557820755	0.0215603461470317	0.154173043226467	0.894578313253012	0.32017114028342	2.28946969191303	5	100	1
SPAC1002.15c	0	71	5	100	2754	300	0	0	0.0257806826434277	19.5653856991501	0.0012841679281129	0.0683234262229618	0	0.0353659847402294	1.88162715818037	2	98	1
SPAC1002.16c	0	24	3	100	1906	300	0	0	0.012591815320042	9.55613653821901	0.0038226010111885	0.207313917589234	0	0.0728587752732529	3.95140326925081	1	99	1
SPAC1002.17c	5	205	89	100	990	300	0.05	37.9458255038447	0.207070707070707	157.149378349256	0.00887629062381919	0.0612748365988165	0.241463414634146	0.0878752771758099	0.606620882328284	18	87	1
SPAC1002.18	1	151	37	100	1505	300	0.01	7.58916510076893	0.100332225913621	76.1437827386119	0.000343635749782126	0.0434250542008939	0.0996688741721854	0.005171718034221	0.653547065723453	9	92	1
SPAC1002.19	3	564	140	100	1563	300	0.03	22.7674953023068	0.36084452975048	273.850871198572	0.00136933658427517	0.0170144293066427	0.0831382978723404	0.0214027308122209	0.265935530062826	27	76	1
SPAC1002.20	0	5	14	100	548	300	0	0	0.00912408759124088	6.92442071238041	0.0190383591688732	1.16008855872718	0	0.104330208245425	6.35728530182496	0	100	1
SPAC1006.01	12	248	117	100	1664	300	0.12	91.0699812092272	0.149038461538462	113.107749097999	0.0258358407450237	0.0884894549785669	0.805161290322581	0.429908389997195	1.47246453084335	14	98	1
SPAC1006.02	83	84	13	100	1217	300	0.83	629.900703363822	0.0690221857025472	52.3820762912564	0.721691986281638	1.35280754060539	12.025119047619	8.78299147304754	16.4636677691676	11	172	1.0655036093739e-34
SPAC1006.03c	11	257	44	100	2770	300	0.11	83.4808161084583	0.0927797833935018	70.4121094186865	0.0222076532009767	0.0802766842364028	1.18560311284047	0.615151993667054	2.22366415334836	9	102	1
SPAC1006.04c	25	53	13	100	3993	300	0.25	189.729127519223	0.0132732281492612	10.0732719844917	0.285165319800061	0.776198460437792	18.8349056603774	11.3866512196165	30.993604525281	1	124	2.18046194875583e-16
SPAC1006.05c	22	193	28	100	2032	300	0.22	166.961632216917	0.0949803149606299	72.0821291559254	0.0714197841654415	0.1802698086555	2.31626943005181	1.45125001424177	3.66308251187975	10	112	1
SPAC1006.06	3	347	6	100	4139	300	0.03	22.7674953023068	0.0838366755254892	63.6250372062532	0.00222120657980575	0.0277196717754661	0.357838616714697	0.0919357403381599	1.14731721478654	7	96	1
SPAC1006.07	50	479	227	100	1302	300	0.5	379.458255038447	0.3678955453149	279.20200332322	0.0771240203820989	0.140901339034347	1.35908141962422	1.00415474537493	1.8345354342272	40	110	1
SPAC1006.08	2	29	20	100	1457	300	0.02	15.1783302015379	0.0199039121482498	15.1054075444268	0.0113820309314607	0.296059868747899	1.0048275862069	0.165836190671383	4.31359228765689	1	101	1
SPAC1006.09	12	531	44	100	4844	300	0.12	91.0699812092272	0.10962014863749	83.192540638074	0.0121608433407715	0.0409936130358214	1.09468926553672	0.589071251426969	1.98573061545519	11	101	1
SPAC1039.01	2	195	41	100	2977	300	0.02	15.1783302015379	0.0655021834061135	49.7106884329843	0.00176350856451503	0.0417544926677487	0.305333333333333	0.0524996499656123	1.24303124671888	6	96	1
SPAC1039.02	2	139	42	100	2733	300	0.02	15.1783302015379	0.0508598609586535	38.5983881817374	0.0024667192416222	0.0587963668883662	0.393237410071942	0.0674154368735346	1.60690470705905	4	98	1
SPAC1039.03	5	71	17	100	1499	300	0.05	37.9458255038447	0.04736490993996	35.9460121517408	0.0250866719158234	0.181175045858876	1.0556338028169	0.376049212018193	2.71581393742455	4	101	1
SPAC1039.04	2	82	7	100	1844	300	0.02	15.1783302015379	0.044468546637744	33.7479142225083	0.00415187490199961	0.100574264254526	0.449756097560976	0.0765605731928729	1.85458943285345	4	98	1
SPAC1039.05c	0	121	28	100	3153	300	0	0	0.0383761496986997	29.1242935995256	0.000752542158547959	0.0398786173471945	0	0.0237276542590172	1.25737280495704	3	97	1
SPAC1039.06	7	56	11	100	1966	300	0.07	53.1241557053825	0.0284842319430315	21.6171538984263	0.0521602855654792	0.284695111380505	2.4575	1.02547121421732	5.59710588974072	2	105	1
SPAC1039.07c	0	55	18	100	1430	300	0	0	0.0384615384615385	29.189096541419	0.0016592631470071	0.0885300344192424	0	0.0237274630022015	1.26597949219517	3	97	1
SPAC1039.08	1	14	4	100	995	300	0.01	7.58916510076893	0.014070351758794	10.6782222523382	0.00350210863509423	0.514391103811047	0.710714285714286	0.0348459809191876	5.11819148291992	1	100	1
SPAC1039.09	0	41	4	100	3060	300	0	0	0.0133986928104575	10.1684891873048	0.00222893830759859	0.119437073139709	0	0.0682055122125168	3.6547744380751	1	99	1
SPAC1039.10	0	4	3	100	888	300	0	0	0.0045045045045045	3.4185428381842	0.0240893601812892	1.52670069174082	0	0.213913518409848	13.5571021426585	0	100	1
