V4	Fisher_WT_r2_pr_counts	Fisher_WT_r2gb_counts	Fisher_WT_r2term_counts	Fisher_WT_r2pr_map	Fisher_WT_r2gb_map	Fisher_WT_r2term_map	Fisher_WT_r2pr_density	Fisher_WT_r2pr_densityRPKM	Fisher_WT_r2gb_density	Fisher_WT_r2gb_densityRPKM	Fisher_WT_r2pause_index_CI_low	Fisher_WT_r2pause_index_CI_high	Fisher_WT_r2pause_index_scaled	Fisher_WT_r2pause_index_CI_low_scaled	Fisher_WT_r2pause_index_CI_high_scaled	Fisher_WT_r2_ExpPR	Fisher_WT_r2_ExpGB	Fisher_WT_r2Fexact_Pval
SPAC105.01c	1	74	0	100	3151	300	0.01	23.238358163519	0.023484608060933	54.5743733449828	0.000696880525014842	0.0894938242238789	0.425810810810811	0.0219587053432177	2.81995040129442	2	99	1
SPAC105.02c	3	46	35	100	1418	300	0.03	69.7150744905571	0.0324400564174894	75.3853649874383	0.0162045937853622	0.21757191633012	0.924782608695652	0.229781139876436	3.0851697735611	3	100	1
SPAC105.03c	0	59	1	100	2487	294	0	0	0.0237233614796944	55.129197090777	0.00154634432682249	0.0824350588536129	0	0.0384575834080755	2.05015991368935	2	98	1
SPAC1071.01c	6	78	2	100	2319	300	0.06	139.430148981114	0.0336351875808538	78.1626535901028	0.0302583879302947	0.183034663463849	1.78384615384615	0.701692016103535	4.24457384572667	3	103	1
SPAC1071.02	0	83	2	100	3405	300	0	0	0.0243759177679883	56.6456307656998	0.00109800574614357	0.0583369154812046	0	0.0373870956561887	1.98637197213502	2	98	1
SPAC1071.03c	0	39	3	100	1677	300	0	0	0.0232558139534884	54.0426934035326	0.00234390037330292	0.125706278271577	0	0.03930720926029	2.10809428661435	2	98	1
SPAC1071.04c	1	1	0	100	331	300	0.01	23.238358163519	0.00302114803625378	7.02065201314774	0.027408528703162	36.4849938072245	3.31	0.0907222300074662	120.765329501913	0	101	1
SPAC1071.05	0	35	13	100	1458	300	0	0	0.0240054869684499	55.7848104062528	0.00261349347422073	0.140450384980723	0	0.0381047348541383	2.04776661301894	2	98	1
SPAC1071.06	5	25	5	100	1678	300	0.05	116.191790817595	0.0148986889153754	34.6221069182346	0.0672763464351095	0.549212697171498	3.356	1.12889709318114	9.21578905853774	1	104	1
SPAC1071.07c	9	10	26	100	468	300	0.09	209.145223471671	0.0213675213675214	49.6546114605107	0.33711075098798	2.3903856313557	4.212	1.57767831462375	11.1870047547447	2	107	1
SPAC1071.08	0	10	40	100	320	300	0	0	0.03125	72.619869260997	0.00929728784483565	0.525639636497703	0	0.0297513211034741	1.68204683679265	3	97	1
SPAC1071.09c	9	11	13	100	2232	300	0.09	209.145223471671	0.00492831541218638	11.4525958691178	0.312827857274846	2.12031519272169	18.2618181818182	6.98231777437457	47.3254351015481	0	109	0.000513216778837178
SPAC1071.10c	110	2457	84	100	4273	300	1.1	2556.21939798709	0.575005850690381	1336.2191904462	0.0368053162534292	0.0544122876498442	1.91302401302401	1.57269116350903	2.32503705127784	76	134	0.0187469329078343
SPAC1071.11	1	70	3	100	2136	300	0.01	23.238358163519	0.0327715355805243	76.1556681388732	0.000736193769851976	0.0947130282636387	0.305142857142857	0.0157250989240382	2.02307028371132	3	98	1
SPAC1071.12c	1	3	6	100	736	300	0.01	23.238358163519	0.00407608695652174	9.47215686013004	0.0133674946082822	3.55733427163736	2.45333333333333	0.0983847603169569	26.1819802392509	0	101	1
SPAC1071.13	0	132	6	100	3378	300	0	0	0.0390763765541741	90.8070834098435	0.000689724450334573	0.0365325128277514	0	0.0232988919323019	1.23406828332144	3	97	1
SPAC1093.01	5	468	17	100	5223	300	0.05	116.191790817595	0.0896036760482481	208.224231677712	0.0039133814031701	0.0266494404048567	0.558012820512821	0.204395910687574	1.39190027234567	8	97	1
SPAC1093.02	3	31	6	100	992	300	0.03	69.7150744905571	0.03125	72.619869260997	0.0236134998558081	0.330007199855794	0.96	0.234245918569616	3.27367142256947	3	100	1
SPAC1093.03	4	40	2	100	3353	300	0.04	92.9534326540761	0.0119296152699075	27.7224672395097	0.0304258483424129	0.291683834732845	3.353	1.02017869492111	9.78015897859228	1	103	1
SPAC1093.04c	4	47	0	100	4949	300	0.04	92.9534326540761	0.00949686805415235	22.0691621274074	0.0260887115061924	0.246100574600521	4.21191489361702	1.29113033244146	12.1795174369798	0	104	1
SPAC1093.05	3	61	5	100	2479	300	0.03	69.7150744905571	0.0246066962484873	57.1819220643268	0.0123347043811018	0.162242810905073	1.21918032786885	0.305777321607515	4.02199928233675	2	101	1
SPAC1093.06c	0	228	2	100	12942	300	0	0	0.0176170607324988	40.9391567090275	0.000399030627399672	0.0210892057570357	0	0.0516425437980655	2.72936500907556	1	99	1
SPAC1093.07	0	25	1	100	1791	300	0	0	0.0139586823003908	32.4376858787256	0.00366831680942558	0.19871450933181	0	0.0656995540568121	3.55897686213273	1	99	1
SPAC10F6.01c	3	527	47	100	4905	300	0.03	69.7150744905571	0.107441386340469	249.676141736484	0.0014651457486159	0.0182137994972085	0.279222011385199	0.0718653989696097	0.893386865338075	9	94	1
SPAC10F6.02c	0	46	5	100	3591	300	0	0	0.0128098022834865	29.7678773467523	0.00198548220405956	0.106196341353302	0	0.0712986659477787	3.81351061799708	1	99	1
SPAC10F6.03c	5	332	27	100	2113	300	0.05	116.191790817595	0.157122574538571	365.127066270152	0.00550502626774395	0.0376519824758648	0.318222891566265	0.11632120503743	0.795586389715022	14	91	1
SPAC10F6.04	0	27	1	100	2665	300	0	0	0.0101313320825516	23.5435523607885	0.00339432100419189	0.183491530730493	0	0.0904586547617139	4.89004929396763	1	99	1
SPAC10F6.05c	0	14	4	100	2025	300	0	0	0.00691358024691358	16.0660253970008	0.0065974714867639	0.365411596620526	0	0.133598797606969	7.39958483156566	0	100	1
