V4	Fisher_dis2_11_r2_pr_counts	Fisher_dis2_11_r2gb_counts	Fisher_dis2_11_r2term_counts	Fisher_dis2_11_r2pr_map	Fisher_dis2_11_r2gb_map	Fisher_dis2_11_r2term_map	Fisher_dis2_11_r2pr_density	Fisher_dis2_11_r2pr_densityRPKM	Fisher_dis2_11_r2gb_density	Fisher_dis2_11_r2gb_densityRPKM	Fisher_dis2_11_r2pause_index_CI_low	Fisher_dis2_11_r2pause_index_CI_high	Fisher_dis2_11_r2pause_index_scaled	Fisher_dis2_11_r2pause_index_CI_low_scaled	Fisher_dis2_11_r2pause_index_CI_high_scaled	Fisher_dis2_11_r2_ExpPR	Fisher_dis2_11_r2_ExpGB	Fisher_dis2_11_r2Fexact_Pval
SPAC1002.18	1	217	28	100	1505	300	0.01	16.0698847146471	0.144186046511628	231.70531449026	0.000239554095853957	0.0301300164021731	0.0693548387096774	0.00360528914260205	0.453456746852705	12	89	1
SPAC1002.19	1	1093	128	100	1563	300	0.01	16.0698847146471	0.699296225207933	1123.76097204794	4.77190645217622e-05	0.00595021681506725	0.0143000914913083	0.000745848978475143	0.0930018888195011	41	60	1
SPAC1002.20	0	0	6	100	548	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC1006.01	6	129	19	100	1664	300	0.06	96.4193082878823	0.0775240384615385	124.580236069079	0.0185320141536929	0.109127081376121	0.773953488372093	0.308372715517449	1.81587463409865	7	99	1
SPAC1006.02	17	37	3	100	1217	300	0.17	273.188040149	0.0304026294165982	48.856674974687	0.248529243832492	0.841407692633751	5.59162162162162	3.02460089744142	10.2399316193528	3	114	0.004606902492378
SPAC1006.03c	14	95	14	100	2770	300	0.14	224.978386005059	0.0342960288808664	55.1133230285729	0.0805493124807349	0.264883156336309	4.08210526315789	2.23121595571636	7.33726343051575	3	111	0.321146659057099
SPAC1006.04c	4	22	14	100	3993	300	0.04	64.2795388585882	0.00550964187327824	8.85393097225733	0.0531523583500741	0.555864053309793	7.26	2.12237366891846	22.19565164866	0	104	1
SPAC1006.05c	20	86	8	100	2032	300	0.2	321.397694292941	0.0423228346456693	68.0123073552976	0.138587957380088	0.386491302605381	4.72558139534884	2.81610729396338	7.85350326894133	4	116	0.00219371296170518
SPAC1006.06	1	143	6	100	4139	300	0.01	16.0698847146471	0.034549408069582	55.520500463748	0.000362739168780577	0.0458788742573126	0.289440559440559	0.0150137741958281	1.89892660551017	3	98	1
SPAC1006.07	21	230	90	100	1302	300	0.21	337.467579007588	0.176651305683564	283.876611702675	0.0568241278663487	0.145247018484934	1.18878260869565	0.739850144819861	1.89111618067384	18	103	1
SPAC1006.08	0	14	12	100	1457	300	0	0	0.00960878517501716	15.4412070010335	0.0065974714867639	0.365411596620526	0	0.09612515956215	5.32404696276107	0	100	1
SPAC1006.09	3	273	18	100	4844	300	0.03	48.2096541439412	0.0563583815028902	90.5672693455542	0.00281931361979758	0.0352917966490072	0.532307692307692	0.136567551742995	1.70953462967791	5	98	1
SPAC1039.01	1	285	34	100	2977	300	0.01	16.0698847146471	0.0957339603627813	153.843370630649	0.000182578342919083	0.022904856093686	0.104456140350877	0.0054353572687011	0.681877565909031	8	93	1
SPAC1039.02	1	418	165	100	2733	300	0.01	16.0698847146471	0.152945481156239	245.781624980698	0.000124610801229739	0.0155918995716896	0.0653827751196172	0.00340561319760878	0.426126615294278	13	88	1
SPAC1039.03	3	31	4	100	1499	300	0.03	48.2096541439412	0.0206804536357572	33.2332505773221	0.0236134998558081	0.330007199855794	1.45064516129032	0.353966362838563	4.94680792583835	2	101	1
SPAC1039.04	0	66	3	100	1844	300	0	0	0.0357917570498915	57.5169409526413	0.00138178273757893	0.0735710521596386	0	0.0254800736809555	1.35665020182374	3	97	1
