V4	Fisher_dis2Del_r1_pr_counts	Fisher_dis2Del_r1gb_counts	Fisher_dis2Del_r1term_counts	Fisher_dis2Del_r1pr_map	Fisher_dis2Del_r1gb_map	Fisher_dis2Del_r1term_map	Fisher_dis2Del_r1pr_density	Fisher_dis2Del_r1pr_densityRPKM	Fisher_dis2Del_r1gb_density	Fisher_dis2Del_r1gb_densityRPKM	Fisher_dis2Del_r1pause_index_CI_low	Fisher_dis2Del_r1pause_index_CI_high	Fisher_dis2Del_r1pause_index_scaled	Fisher_dis2Del_r1pause_index_CI_low_scaled	Fisher_dis2Del_r1pause_index_CI_high_scaled	Fisher_dis2Del_r1_ExpPR	Fisher_dis2Del_r1_ExpGB	Fisher_dis2Del_r1Fexact_Pval
SPAC1006.04c	18	95	24	100	3993	300	0.18	114.440190377614	0.0237916353618833	15.1262182233817	0.110669316771086	0.320603047016137	7.56568421052632	4.41902581866946	12.8016796673543	2	116	7.63429515060518e-06
SPAC1006.05c	15	182	45	100	2032	300	0.15	95.3668253146787	0.0895669291338583	56.9447578978725	0.0468317213640882	0.142643534340443	1.67472527472527	0.951620578118271	2.89851661779781	9	106	1
SPAC1006.06	4	348	28	100	4139	300	0.04	25.4311534172477	0.0840782797777241	53.4551908021393	0.0036597683295477	0.0318283109314506	0.475747126436782	0.151477811159979	1.31737378945274	8	96	1
SPAC1006.07	43	590	208	100	1302	300	0.43	273.384899235412	0.453149001536098	288.102544473428	0.0527865790506339	0.100280945294337	0.948915254237288	0.687281259239253	1.30565790773226	44	99	1
SPAC1006.08	5	55	24	100	1457	300	0.05	31.7889417715596	0.0377487989018531	23.9998874047464	0.0320836943091316	0.236342089873683	1.32454545454545	0.467459426084048	3.44350424945955	3	102	1
SPAC1006.09	15	769	38	100	4844	300	0.15	95.3668253146787	0.158753096614368	100.931858886578	0.0112717191232661	0.0331760926544135	0.944863459037711	0.546002074331011	1.60704992817979	15	100	1
SPAC1039.01	0	119	26	100	2977	300	0	0	0.0399731273093719	25.4140683292952	0.000765213614500503	0.0405539692697729	0	0.02278040930368	1.20729166516114	3	97	1
SPAC1039.02	1	232	73	100	2733	300	0.01	6.35778835431192	0.0848884010245152	53.9702487449822	0.000224125897861544	0.028169882148946	0.117801724137931	0.00612536078855601	0.769882879130694	7	94	1
SPAC1039.03	28	53	15	100	1499	300	0.28	178.018073920734	0.0353569046030687	22.4791716329908	0.325816944154697	0.853213072571259	7.91924528301887	4.88399599287891	12.7896639578432	4	124	2.93519971348652e-09
SPAC1039.04	0	86	20	100	1844	300	0	0	0.0466377440347072	29.6512905895241	0.00105960382633116	0.0562803475494486	0	0.0195390945575465	1.03780960881183	4	96	1
SPAC1039.05c	2	101	20	100	3153	300	0.02	12.7155767086238	0.0320329844592452	20.3658935548843	0.00338177880340572	0.0813157473630838	0.624356435643564	0.106627485671382	2.56388551435803	3	99	1
SPAC1039.06	2	61	35	100	1966	300	0.02	12.7155767086238	0.0310274669379451	19.7266067961865	0.00554834001928696	0.136229324244619	0.644590163934426	0.109080364779182	2.67826851464921	3	99	1
SPAC1039.07c	2	38	15	100	1430	300	0.02	12.7155767086238	0.0265734265734266	16.8948222002694	0.00878433500901352	0.222638928736117	0.752631578947368	0.125615990628893	3.18373668092647	2	100	1
SPAC1039.08	1	15	5	100	995	300	0.01	6.35778835431192	0.0150753768844221	9.58460555926419	0.00328192270549487	0.476785931797302	0.663333333333333	0.032655130919674	4.74402002138315	1	100	1
SPAC1039.09	0	19	9	100	3060	300	0	0	0.00620915032679739	3.94764636378844	0.00484054272324269	0.264551414760663	0	0.148120607331226	8.0952732916763	0	100	1
SPAC1039.10	0	6	2	100	888	300	0	0	0.00675675675675676	4.29580294210265	0.0157393406208896	0.93492067967121	0	0.139765344713499	8.30209563548035	0	100	1
SPAC1039.11c	0	88	19	100	3471	300	0	0	0.0253529242293287	16.1188526412979	0.00103546085669004	0.0549880072256109	0	0.0359408463357112	1.90863373080096	2	98	1
SPAC105.01c	23	145	13	100	3151	300	0.23	146.229132149174	0.0460171374166931	29.2567220366623	0.0995505861851173	0.250646602557468	4.99813793103448	3.13683897069305	7.89787444658582	5	118	8.65782996388447e-05
SPAC105.02c	4	77	54	100	1418	300	0.04	25.4311534172477	0.0543018335684062	34.5239565078997	0.0161954755087901	0.147329923447304	0.736623376623377	0.229651842714644	2.08913831448278	5	99	1
SPAC105.03c	3	148	2	100	2487	294	0.03	19.0733650629357	0.0595094491355046	37.8348482685229	0.00517164067718555	0.0655266111284806	0.504121621621622	0.128618703641605	1.62964681876531	5	98	1
SPAC1071.01c	5	222	6	100	2319	300	0.05	31.7889417715596	0.0957309184993532	60.8636918782771	0.00820378623004901	0.056527678066487	0.522297297297297	0.190245802674837	1.31087685436183	9	96	1
SPAC1071.02	8	165	15	100	3405	300	0.08	50.8623068344953	0.0484581497797357	30.8086660341106	0.0221399790018546	0.101631347416405	1.65090909090909	0.75386628501315	3.46054737952861	4	104	1
SPAC1071.03c	3	172	28	100	1677	300	0.03	19.0733650629357	0.102564102564103	65.2080856852504	0.00445755066873454	0.0562710810167799	0.2925	0.0747531247146782	0.943666028651399	9	94	1
SPAC1071.04c	3	15	18	100	331	300	0.03	19.0733650629357	0.0453172205438066	28.8117297023199	0.046101519525487	0.73204421859004	0.662	0.152596029629362	2.42306636353303	4	99	1
SPAC1071.05	7	74	46	100	1458	300	0.07	44.5045184801834	0.0507544581618656	32.268610303092	0.039933102935157	0.212734288000735	1.37918918918919	0.58222464079459	3.10166591905072	5	102	1
SPAC1071.06	47	79	17	100	1678	300	0.47	298.81605265266	0.0470798569725864	29.9323766382981	0.408115603791219	0.865887673865519	9.98303797468354	6.84817983161666	14.5295951674634	6	141	2.01640549091206e-19
SPAC1071.07c	37	46	112	100	468	300	0.37	235.238169109541	0.0982905982905983	62.4910821150316	0.510562363059742	1.26568355097416	3.76434782608696	2.38943185911959	5.92339901855909	12	125	0.00109872795763487
SPAC1071.08	3	20	65	100	320	300	0.03	19.0733650629357	0.0625	39.7361772144495	0.0355268249310211	0.530617317909897	0.48	0.113685839779267	1.69797541731167	6	97	1
SPAC1071.09c	190	98	53	100	2232	300	1.9	1207.97978731926	0.0439068100358423	27.9150205520864	1.50903913911216	2.49242705356168	43.2734693877551	33.6817535849835	55.6309718354967	12	278	1.9221894439613e-134
SPAC1071.10c	199	5780	468	100	4273	300	1.99	1265.19988250807	1.35267961619471	860.005071095784	0.029812722520042	0.0397463801560385	1.47115397923875	1.2738976332814	1.69836282406753	171	128	1
SPAC1071.11	22	371	45	100	2136	300	0.22	139.871343794862	0.173689138576779	110.427878251391	0.0375944458619084	0.0926499029767431	1.2666307277628	0.803017363610363	1.97900192758323	18	104	1
SPAC1071.12c	3	11	20	100	736	300	0.03	19.0733650629357	0.014945652173913	9.50212933389009	0.060516818949439	1.0484994078404	2.00727272727273	0.445403787467871	7.71695564170537	1	102	1
SPAC1071.13	1	311	43	100	3378	300	0.01	6.35778835431192	0.0920663114268798	58.533812261427	0.000167358869150065	0.0209811293891805	0.108617363344051	0.00565338259988918	0.708742550766519	8	93	1
