V4	Fisher_dis2Del_r2_pr_counts	Fisher_dis2Del_r2gb_counts	Fisher_dis2Del_r2term_counts	Fisher_dis2Del_r2pr_map	Fisher_dis2Del_r2gb_map	Fisher_dis2Del_r2term_map	Fisher_dis2Del_r2pr_density	Fisher_dis2Del_r2pr_densityRPKM	Fisher_dis2Del_r2gb_density	Fisher_dis2Del_r2gb_densityRPKM	Fisher_dis2Del_r2pause_index_CI_low	Fisher_dis2Del_r2pause_index_CI_high	Fisher_dis2Del_r2pause_index_scaled	Fisher_dis2Del_r2pause_index_CI_low_scaled	Fisher_dis2Del_r2pause_index_CI_high_scaled	Fisher_dis2Del_r2_ExpPR	Fisher_dis2Del_r2_ExpGB	Fisher_dis2Del_r2Fexact_Pval
SPAC1002.01	3	6	5	100	481	300	0.03	114.454016191428	0.0124740124740125	47.5900275224234	0.0994064108776846	2.23440263509104	2.405	0.478144836321663	10.7474766747879	1	102	1
SPAC1002.02	1	12	3	100	837	300	0.01	38.151338730476	0.014336917562724	54.6972598286395	0.0040448521341888	0.610617545978525	0.6975	0.0338554123631602	5.11086885984025	1	100	1
SPAC1002.03c	1	38	2	100	2955	300	0.01	38.151338730476	0.0128595600676819	49.0609432067036	0.0013417190345932	0.177523570277566	0.777631578947368	0.039647797472229	5.24582150170207	1	100	1
SPAC1002.04c	0	9	0	100	641	300	0	0	0.0140405616224649	53.5666222424781	0.0103569347612096	0.590306163886248	0	0.0663879518193533	3.78386251051085	1	99	1
SPAC1002.05c	0	12	12	100	2086	300	0	0	0.00575263662511985	21.947078847829	0.00771806013949717	0.431135285113533	0	0.160998734509911	8.99348204746831	0	100	1
SPAC1002.06c	3	0	1	100	311	300	0.03	114.454016191428	0	0	0.449250381531113	30.4904450141133	NA	1.39716868656176	94.8252839938924	0	103	1
SPAC1002.07c	1	5	5	100	1084	300	0.01	38.151338730476	0.00461254612546125	17.5974809642417	0.00883974757390515	1.74105855180368	2.168	0.0958228637011318	18.8730747015519	0	101	1
SPAC1002.08c	7	16	2	100	1783	300	0.07	267.059371113332	0.0089736399326977	34.2356376717676	0.163552845922925	1.12792109511	7.800625	2.91614724280576	20.1108331258113	0	107	1
SPAC1002.09c	3	59	3	100	2132	300	0.03	114.454016191428	0.0276735459662289	105.5782826031	0.0127403771074271	0.167938348090167	1.08406779661017	0.271624839930346	3.58044558128236	2	101	1
SPAC1002.10c	0	4	15	100	1806	300	0	0	0.00221483942414175	8.44990891040444	0.0240893601812892	1.52670069174082	0	0.435053844874083	27.5722144928392	0	100	1
SPAC1002.11	0	14	2	100	1871	300	0	0	0.00748262960983431	28.5472336839479	0.0065974714867639	0.365411596620526	0	0.123438691517352	6.83685097277005	0	100	1
SPAC1002.12c	4	12	3	100	1692	300	0.04	152.605354921904	0.00709219858156028	27.0576870428908	0.0909024582098313	1.10933161535556	5.64	1.53806959291035	18.769890931816	0	104	1
SPAC1002.13c	16	381	68	100	1829	300	0.16	610.421419687617	0.208310552214325	794.732643866122	0.0245803015659728	0.070642589069106	0.768083989501312	0.449573715641642	1.29205295407395	19	97	1
SPAC1002.14	1	21	4	100	1485	300	0.01	38.151338730476	0.0141414141414141	53.9513881037035	0.00238298221596271	0.331279590579523	0.707142857142857	0.0353872859070462	4.91950192010591	1	100	1
SPAC1002.15c	0	11	1	100	2754	300	0	0	0.00399419026870007	15.2383705895148	0.00843437698064696	0.473726222726494	0	0.232282742047017	13.0464201738876	0	100	1
SPAC1002.16c	0	8	1	100	1906	300	0	0	0.00419727177334732	16.013153716884	0.0116892782926356	0.673070909790981	0	0.222797644257634	12.8287315406161	0	100	1
SPAC1002.17c	0	7	1	100	990	300	0	0	0.00707070707070707	26.9756940518518	0.0134151780994594	0.782741335671289	0	0.132810263184649	7.74913922314576	0	100	1
SPAC1002.18	3	13	0	100	1505	300	0.03	114.454016191428	0.00863787375415282	32.9546447505773	0.0523338859955796	0.862462925029247	3.47307692307692	0.787624984233473	12.9800670216902	0	103	1
SPAC1002.19	0	24	6	100	1563	300	0	0	0.0153550863723608	58.5817101427655	0.0038226010111885	0.207313917589234	0	0.0597472538048763	3.24031653191973	1	99	1
SPAC1002.20	0	2	3	100	548	300	0	0	0.00364963503649635	13.9238462519986	0.0514242900386907	4.05388820080272	0	0.281805109412025	22.2153073403989	0	100	1
SPAC1006.01	2	48	9	100	1664	300	0.02	76.3026774609521	0.0288461538461538	110.051938645604	0.0070073850459693	0.174519842377689	0.693333333333333	0.116602887164929	2.90401017716474	2	100	1
SPAC1006.02	8	19	4	100	1217	300	0.08	305.210709843808	0.0156121610517666	59.5624844600694	0.169557956223164	1.01372578064047	5.12421052631579	2.06352032723591	12.3370427503946	1	107	1
SPAC1006.03c	2	38	2	100	2770	300	0.02	76.3026774609521	0.0137184115523466	52.337576597765	0.00878433500901352	0.222638928736117	1.45789473684211	0.243326079749674	6.16709832599043	1	101	1
SPAC1006.04c	2	16	2	100	3993	300	0.02	76.3026774609521	0.00400701227147508	15.287288246622	0.0198698862921535	0.564288735510909	4.99125	0.793404559645689	22.5320492089506	0	102	1
SPAC1006.05c	1	42	4	100	2032	300	0.01	38.151338730476	0.0206692913385827	78.8561135177163	0.00121663271361786	0.160036851469115	0.483809523809524	0.0247219767407149	3.25194882185242	2	99	1
SPAC1006.06	1	63	2	100	4139	300	0.01	38.151338730476	0.0152210678907949	58.0704116941288	0.000816834141197491	0.105477585460253	0.656984126984127	0.0338087651041641	4.36571726219986	1	100	1
SPAC1006.07	3	122	36	100	1302	300	0.03	114.454016191428	0.0937019969278034	357.485662451465	0.00625764311265989	0.0797334758178471	0.320163934426229	0.0814745133268318	1.03812985514837	8	95	1
SPAC1006.08	0	8	2	100	1457	300	0	0	0.00549073438572409	20.9478867428832	0.0116892782926356	0.673070909790981	0	0.1703127847237	9.8066431556546	0	100	1
SPAC1006.09	0	118	5	100	4844	300	0	0	0.0243600330305533	92.9367871634223	0.000771710724765841	0.0409002962922262	0	0.0373816675076573	1.98121035239544	2	98	1
SPAC1039.01	0	21	0	100	2977	300	0	0	0.00705408128988915	26.9122644722874	0.00437456871201282	0.238242196120647	0	0.130230910556622	7.09247017851167	0	100	1
SPAC1039.02	0	48	14	100	2733	300	0	0	0.017563117453348	67.0056443125814	0.0019023677648798	0.101687091822644	0	0.051991711014165	2.77910821951287	1	99	1
SPAC1039.03	1	13	2	100	1499	300	0.01	38.151338730476	0.00867244829886591	33.0865512672574	0.00375396436557918	0.55840707127902	1.15307692307692	0.056271925840032	8.37052199847251	0	101	1
SPAC1039.04	0	26	1	100	1844	300	0	0	0.0140997830802603	53.7925600321246	0.00352600391483322	0.190799932857011	0	0.0650195121895246	3.51835076188328	1	99	1
SPAC1039.05c	0	15	3	100	3153	300	0	0	0.00475737392959087	18.1500184255357	0.00615095181701504	0.339527058120729	0	0.193939510790484	10.7052881425466	0	100	1
SPAC1039.06	2	13	6	100	1966	300	0.02	76.3026774609521	0.00661241098677518	25.2272331381581	0.0240005686740661	0.712651641747209	3.02461538461538	0.471851180132139	14.0107312767501	0	102	1
SPAC1039.07c	0	10	6	100	1430	300	0	0	0.00699300699300699	26.6792578534798	0.00929728784483565	0.525639636497703	0	0.13295121618115	7.51664680191715	0	100	1
SPAC1039.08	0	2	2	100	995	300	0	0	0.00201005025125628	7.66861080009569	0.0514242900386907	4.05388820080272	0	0.511671685884973	40.3361875979871	0	100	1
SPAC1039.09	0	3	0	100	3060	300	0	0	0.000980392156862745	3.74032732651726	0.0327971598819604	2.22593021867193	0	1.00359309238799	68.1134646913612	0	100	1
SPAC1039.10	1	0	1	100	888	300	0.01	38.151338730476	0	0	0.0577765545925511	8.27870929775896	NA	0.513055804781854	73.5149385640996	0	101	1
SPAC1039.11c	0	9	4	100	3471	300	0	0	0.00259291270527226	9.89230909173969	0.0103569347612096	0.590306163886248	0	0.359489205561584	20.4895269484917	0	100	1
SPAC105.01c	3	20	0	100	3151	300	0.03	114.454016191428	0.00634719136781974	24.2153847860844	0.0355268249310211	0.530617317909897	4.7265	1.11945025357647	16.7197516873408	0	103	1
SPAC105.02c	1	12	5	100	1418	300	0.01	38.151338730476	0.00846262341325811	32.2860412387668	0.0040448521341888	0.610617545978525	1.18166666666667	0.0573560032627972	8.65855680197548	0	101	1
SPAC105.03c	0	32	1	100	2487	294	0	0	0.0128669079211902	49.0889762515172	0.00286022979559656	0.15399674612007	0	0.0711339150164865	3.82989907600613	1	99	1
SPAC1071.01c	1	37	2	100	2319	300	0.01	38.151338730476	0.0159551530832255	60.8710449774736	0.0013771155727744	0.182508731776351	0.626756756756757	0.0319353101326383	4.23237748989359	1	100	1
SPAC1071.02	1	37	1	100	3405	300	0.01	38.151338730476	0.0108663729809104	41.4566676366406	0.0013771155727744	0.182508731776351	0.92027027027027	0.0468907852529683	6.21442231698476	1	100	1
SPAC1071.03c	1	24	3	100	1677	300	0.01	38.151338730476	0.0143112701252236	54.5994114210748	0.00209593717773238	0.287382877405496	0.69875	0.0351488664705721	4.81941085409017	1	100	1
SPAC1071.04c	0	1	1	100	331	300	0	0	0.00302114803625378	11.526084208603	0.120791776113059	17.3080587281839	0	0.399820778934225	57.2896743902888	0	100	1
SPAC1071.05	0	14	10	100	1458	300	0	0	0.00960219478737997	36.6336585889345	0.0065974714867639	0.365411596620526	0	0.0961911342770176	5.32770107872727	0	100	1
SPAC1071.06	3	13	4	100	1678	300	0.03	114.454016191428	0.00774731823599523	29.5570562274248	0.0523338859955796	0.862462925029247	3.87230769230769	0.878162607005826	14.4721278819908	0	103	1
SPAC1071.07c	5	6	14	100	468	300	0.05	190.75669365238	0.0128205128205128	48.9119727313795	0.221566015070826	3.07129898399964	3.9	1.03692895053147	14.3736792451183	1	104	1
SPAC1071.08	0	12	18	100	320	300	0	0	0.0375	143.067520239285	0.00771806013949717	0.431135285113533	0	0.0246977924463909	1.37963291236331	3	97	1
SPAC1071.09c	22	24	5	100	2232	300	0.22	839.329452070473	0.010752688172043	41.0229448714796	0.495588003443426	1.69359213372645	20.46	11.0615242368573	37.8009764247744	1	121	1.18192419369266e-13
SPAC1071.10c	20	1180	67	100	4273	300	0.2	763.026774609521	0.276152586005149	1053.55908499793	0.0105976607028646	0.0268044377420565	0.724237288135593	0.452838041833402	1.14535362471808	25	95	1
SPAC1071.11	0	28	2	100	2136	300	0	0	0.0131086142322097	50.0111181860173	0.00327211992868732	0.176722244865318	0	0.0698924816767612	3.77478715032319	1	99	1
SPAC1071.12c	0	3	4	100	736	300	0	0	0.00407608695652174	15.5508174173136	0.0327971598819604	2.22593021867193	0	0.241387096731228	16.3828464094254	0	100	1
SPAC1071.13	0	22	1	100	3378	300	0	0	0.00651272942569568	24.8469346379655	0.00417368066078422	0.226956323474185	0	0.140986932721291	7.66658460695797	0	100	1
SPAC1093.01	5	247	17	100	5223	300	0.05	190.75669365238	0.0472908290254643	180.420843699552	0.00738137189231241	0.0507460079012452	1.05728744939271	0.385529053935477	2.65046399268204	4	101	1
SPAC1093.02	1	14	9	100	992	300	0.01	38.151338730476	0.0141129032258065	53.842615143817	0.00350210863509423	0.514391103811047	0.708571428571429	0.0347409176601348	5.10275974980559	1	100	1
