V4	Fisher_dis2_T316A_r1_pr_counts	Fisher_dis2_T316A_r1gb_counts	Fisher_dis2_T316A_r1term_counts	Fisher_dis2_T316A_r1pr_map	Fisher_dis2_T316A_r1gb_map	Fisher_dis2_T316A_r1term_map	Fisher_dis2_T316A_r1pr_density	Fisher_dis2_T316A_r1pr_densityRPKM	Fisher_dis2_T316A_r1gb_density	Fisher_dis2_T316A_r1gb_densityRPKM	Fisher_dis2_T316A_r1pause_index_CI_low	Fisher_dis2_T316A_r1pause_index_CI_high	Fisher_dis2_T316A_r1pause_index_scaled	Fisher_dis2_T316A_r1pause_index_CI_low_scaled	Fisher_dis2_T316A_r1pause_index_CI_high_scaled	Fisher_dis2_T316A_r1_ExpPR	Fisher_dis2_T316A_r1_ExpGB	Fisher_dis2_T316A_r1Fexact_Pval
SPAC1002.01	64	32	45	100	481	300	0.64	231.907584827446	0.0665280665280665	24.1068175496306	1.28423509992319	3.1253863667074	9.62	6.17717083063054	15.0331084238626	10	154	3.28771324311553e-18
SPAC1002.02	26	53	28	100	837	300	0.26	94.21245633615	0.0633213859020311	22.9448588632293	0.298680165226813	0.801903447243732	4.10603773584906	2.49995298294842	6.71193185343004	7	119	0.0031042237759636
SPAC1002.03c	33	317	61	100	2955	300	0.33	119.577348426652	0.107275803722504	38.8719883620455	0.0714845400146366	0.150840506315234	3.07618296529968	2.11236815743251	4.45733696161515	12	121	0.00472040790546873
SPAC1002.04c	53	82	5	100	641	300	0.53	192.048468685229	0.12792511700468	46.3543826926935	0.450991234465127	0.925209645229801	4.14304878048781	2.89085381292147	5.93059382592302	17	136	1.81503400335029e-07
SPAC1002.05c	3	125	164	100	2086	300	0.03	10.8706680387865	0.0599232981783317	21.7135427428622	0.00610960808364384	0.0777875532224786	0.50064	0.127446424624811	1.6226483602209	5	98	1
SPAC1002.06c	9	18	6	100	311	300	0.09	32.6120041163596	0.0578778135048231	20.9723499140576	0.20824467416958	1.17320221410224	1.555	0.647640936667393	3.64865888585797	5	104	1
SPAC1002.07c	34	41	12	100	1084	300	0.34	123.200904439581	0.0378228782287823	13.705331783218	0.51399716784468	1.33633867289371	8.98926829268293	5.57172929943633	14.4859112141679	4	130	7.06805252395531e-12
SPAC1002.08c	65	146	75	100	1783	300	0.65	235.531140840375	0.0818844643858665	29.6712943290865	0.328833407775964	0.601988874681135	7.93801369863014	5.86309966064544	10.7334616355646	12	153	1.7666892638332e-22
SPAC1002.09c	7	375	62	100	2132	300	0.07	25.3648920905019	0.175891181988743	63.7351550116472	0.00811837319044364	0.0406500072438722	0.397973333333333	0.173083716420258	0.866658154439355	16	91	1
SPAC1002.10c	12	72	67	100	1806	300	0.12	43.4826721551462	0.0398671096345515	14.4460704834373	0.0859719462550338	0.316070328784623	3.01	1.55265334936591	5.7082301378503	4	108	1
