V4	Fisher_WT_r1_pr_counts	Fisher_WT_r1gb_counts	Fisher_WT_r1term_counts	Fisher_WT_r1pr_map	Fisher_WT_r1gb_map	Fisher_WT_r1term_map	Fisher_WT_r1pr_density	Fisher_WT_r1pr_densityRPKM	Fisher_WT_r1gb_density	Fisher_WT_r1gb_densityRPKM	Fisher_WT_r1pause_index_CI_low	Fisher_WT_r1pause_index_CI_high	Fisher_WT_r1pause_index_scaled	Fisher_WT_r1pause_index_CI_low_scaled	Fisher_WT_r1pause_index_CI_high_scaled	Fisher_WT_r1_ExpPR	Fisher_WT_r1_ExpGB	Fisher_WT_r1Fexact_Pval
SPAC1002.01	9	24	39	100	481	300	0.09	62.3544197505546	0.0498960498960499	34.5693248790324	0.161981428075661	0.844558835112617	1.80375	0.779130669043928	4.06232799689169	5	104	1
SPAC1002.02	22	58	19	100	837	300	0.22	152.4219149458	0.0692951015531661	48.0095094322603	0.225286816181473	0.634074564458466	3.1748275862069	1.88565065143893	5.30720410451736	7	115	0.410229606416811
SPAC1002.03c	2	210	15	100	2955	300	0.02	13.8565377223455	0.0710659898477157	49.2364284550347	0.0016383995707638	0.0387462685790596	0.281428571428571	0.0484147073160704	1.14495223651121	6	96	1
SPAC1002.04c	14	28	3	100	641	300	0.14	96.9957640564183	0.0436817472698908	30.2638889411602	0.250582377344401	0.985895319610161	3.205	1.60623303877761	6.31958899870113	4	110	1
SPAC1002.05c	1	84	49	100	2086	300	0.01	6.92826886117273	0.0402684563758389	27.8990692396217	0.000614803256201382	0.0786573815564277	0.248333333333333	0.0128247959243608	1.64079297926708	3	98	1
SPAC1002.06c	1	10	2	100	311	300	0.01	6.92826886117273	0.0321543408360129	22.2773918365683	0.00478667548335045	0.750794709134687	0.311	0.0148865607532199	2.33497154540888	3	98	1
SPAC1002.07c	2	52	3	100	1084	300	0.02	13.8565377223455	0.0479704797047971	33.2352380794264	0.00648283335729948	0.160629404222807	0.416923076923077	0.0702739135931264	1.74122274177523	4	98	1
SPAC1002.08c	25	105	13	100	1783	300	0.25	173.206721529318	0.0588895120583287	40.8002372643375	0.150149121520402	0.374967581295203	4.24523809523809	2.67715883670877	6.68567197449348	6	119	0.00073981104594957
SPAC1002.09c	2	392	13	100	2132	300	0.02	13.8565377223455	0.183864915572233	127.386556922125	0.000880492002586609	0.0206737994655778	0.108775510204082	0.0187720894951465	0.440765404606118	15	87	1
SPAC1002.10c	3	48	37	100	1806	300	0.03	20.7848065835182	0.026578073089701	18.4140036177348	0.0155539315870732	0.208111576518362	1.12875	0.280904004462543	3.75849507192161	2	101	1
