V4	dis2ts_DMSO_30Cr1_pr_counts	dis2ts_DMSO_30Cr1gb_counts	dis2ts_DMSO_30Cr1term_counts	dis2ts_DMSO_30Cr1pr_map	dis2ts_DMSO_30Cr1gb_map	dis2ts_DMSO_30Cr1term_map	dis2ts_DMSO_30Cr1pr_density	dis2ts_DMSO_30Cr1pr_densityRPKM	dis2ts_DMSO_30Cr1gb_density	dis2ts_DMSO_30Cr1gb_densityRPKM	dis2ts_DMSO_30Cr1pause_index_CI_low	dis2ts_DMSO_30Cr1pause_index_CI_high	dis2ts_DMSO_30Cr1pause_index_scaled	dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	dis2ts_DMSO_30Cr1_ExpPR	dis2ts_DMSO_30Cr1_ExpGB	dis2ts_DMSO_30Cr1Fexact_Pval
SPAC1006.06	13	536	48	100	4139	300	0.13	62.0048850310191	0.129499879197874	61.7663470861157	0.0133930319845287	0.042991486863322	1.00386194029851	0.554337593839642	1.7794176412729	12	101	1
SPAC1006.07	137	739	222	100	1302	300	1.37	653.436096096125	0.567588325652842	270.717299054255	0.153818515818766	0.223307662956427	2.41372124492558	2.00271707596034	2.90746577169269	85	152	9.61573334529604e-07
SPAC1006.08	0	60	67	100	1457	300	0	0	0.0411805078929307	19.6414819801549	0.00152047587690972	0.0810402206892091	0	0.0221533335265746	1.18075601544178	3	97	1
SPAC1006.09	50	911	59	100	4844	300	0.5	238.480327042381	0.188067712634187	89.7008992302268	0.0408358868817619	0.0735632712775483	2.65861690450055	1.97809036055254	3.56340486068444	23	127	0.00101665124199766
SPAC1039.01	0	49	10	100	2977	300	0	0	0.0164595230097414	7.85054486064943	0.00186336651256467	0.0995730739938508	0	0.0554724210790502	2.96429041279694	1	99	1
SPAC1039.02	0	51	27	100	2733	300	0	0	0.0186608122941822	8.90047323758613	0.00178997256498559	0.0955981914009031	0	0.0489199502010562	2.61269857098668	1	99	1
SPAC1039.03	2	53	10	100	1499	300	0.02	9.53921308169525	0.0353569046030687	16.8638523458922	0.00636374095221003	0.157495336185186	0.565660377358491	0.0953924768736283	2.36085508941594	3	99	1
SPAC1039.04	2	51	10	100	1844	300	0.02	9.53921308169525	0.0276572668112798	13.1914280685048	0.00660646829335149	0.16389065168521	0.723137254901961	0.121823275329401	3.02214361707528	2	100	1
SPAC1039.05c	1	123	18	100	3153	300	0.01	4.76960654084763	0.0390104662226451	18.6064574857043	0.000421290135410667	0.0534261867289411	0.256341463414634	0.0132832779694983	1.68452766756351	3	98	1
SPAC1039.06	3	36	16	100	1966	300	0.03	14.3088196225429	0.0183112919633774	8.73376579198955	0.0204905718519324	0.281535855854755	1.63833333333333	0.402844642608991	5.53499492610449	1	102	1
