V4	ePRO_Cdk9as_7min30sec_r1_pr_counts	ePRO_Cdk9as_7min30sec_r1gb_counts	ePRO_Cdk9as_7min30sec_r1term_counts	ePRO_Cdk9as_7min30sec_r1pr_map	ePRO_Cdk9as_7min30sec_r1gb_map	ePRO_Cdk9as_7min30sec_r1term_map	ePRO_Cdk9as_7min30sec_r1pr_density	ePRO_Cdk9as_7min30sec_r1pr_densityRPKM	ePRO_Cdk9as_7min30sec_r1gb_density	ePRO_Cdk9as_7min30sec_r1gb_densityRPKM	ePRO_Cdk9as_7min30sec_r1pause_index_CI_low	ePRO_Cdk9as_7min30sec_r1pause_index_CI_high	ePRO_Cdk9as_7min30sec_r1pause_index_scaled	ePRO_Cdk9as_7min30sec_r1pause_index_CI_low_scaled	ePRO_Cdk9as_7min30sec_r1pause_index_CI_high_scaled	ePRO_Cdk9as_7min30sec_r1_ExpPR	ePRO_Cdk9as_7min30sec_r1_ExpGB	ePRO_Cdk9as_7min30sec_r1Fexact_Pval
SPAC1002.01	6	35	45	100	481	300	0.06	22.9638525996229	0.0727650727650728	27.8494400896328	0.0648817861530847	0.425764869777491	0.824571428571429	0.312081391396337	2.04792902362973	7	99	1
SPAC1002.02	12	125	32	100	837	300	0.12	45.9277051992459	0.149342891278375	57.1581357019687	0.0505393613788592	0.178182183615826	0.80352	0.423014454741052	1.49138487686447	14	98	1
SPAC1002.03c	12	416	24	100	2955	300	0.12	45.9277051992459	0.14077834179357	53.8802181694481	0.0154931967681261	0.0524295858299501	0.852403846153846	0.457823964498127	1.54929426127503	13	99	1
SPAC1002.04c	29	114	7	100	641	300	0.29	110.991954231511	0.177847113884555	68.0675818085547	0.16560727511882	0.388647324726469	1.63061403508772	1.06154263351164	2.49122935149667	19	110	1
SPAC1002.05c	3	142	110	100	2086	300	0.03	11.4819262998115	0.0680728667305849	26.0535879605821	0.00538740360514481	0.068336560713795	0.440704225352113	0.112381239203321	1.42550065648976	6	97	1
SPAC1002.06c	1	8	5	100	311	300	0.01	3.82730876660382	0.0257234726688103	9.84516724528314	0.00586171689225921	0.973546520057376	0.38875	0.0182299395349261	3.02772967737844	2	99	1
SPAC1002.07c	7	206	4	100	1084	300	0.07	26.7911613662268	0.190036900369004	72.7329894760505	0.0146886296817908	0.0744857774533308	0.368349514563107	0.159224745750613	0.807425827594106	17	90	1
SPAC1002.08c	7	141	16	100	1783	300	0.07	26.7911613662268	0.0790802019068985	30.2664350023073	0.0213274871533329	0.10955181663531	0.885177304964539	0.380269095943926	1.95330889060758	7	100	1
SPAC1002.09c	1	876	8	100	2132	300	0.01	3.82730876660382	0.410881801125704	157.257151948637	5.95276772099839e-05	0.00742660497647939	0.024337899543379	0.00126913007811686	0.158335218098541	29	72	1
SPAC1002.10c	8	142	50	100	1806	300	0.08	30.6184701328306	0.0786267995570321	30.0929039234631	0.0256518247641506	0.11845815576696	1.01746478873239	0.46327195524056	2.1393542931513	7	101	1
