V4	ePRO_Cdk9as_10min_r2_pr_counts	ePRO_Cdk9as_10min_r2gb_counts	ePRO_Cdk9as_10min_r2term_counts	ePRO_Cdk9as_10min_r2pr_map	ePRO_Cdk9as_10min_r2gb_map	ePRO_Cdk9as_10min_r2term_map	ePRO_Cdk9as_10min_r2pr_density	ePRO_Cdk9as_10min_r2pr_densityRPKM	ePRO_Cdk9as_10min_r2gb_density	ePRO_Cdk9as_10min_r2gb_densityRPKM	ePRO_Cdk9as_10min_r2pause_index_CI_low	ePRO_Cdk9as_10min_r2pause_index_CI_high	ePRO_Cdk9as_10min_r2pause_index_scaled	ePRO_Cdk9as_10min_r2pause_index_CI_low_scaled	ePRO_Cdk9as_10min_r2pause_index_CI_high_scaled	ePRO_Cdk9as_10min_r2_ExpPR	ePRO_Cdk9as_10min_r2_ExpGB	ePRO_Cdk9as_10min_r2Fexact_Pval
SPAC1002.01	19	21	54	100	481	300	0.19	101.822515852158	0.0436590436590437	23.3972298161212	0.466622654925052	1.75146911525315	4.35190476190476	2.2444549701895	8.42456644436765	4	115	0.151786032775729
SPAC1002.02	15	81	46	100	837	300	0.15	80.3861967253879	0.0967741935483871	51.8620624034761	0.102482807933209	0.329477179338803	1.55	0.85778110240096	2.75772399106578	10	105	1
SPAC1002.03c	14	311	13	100	2955	300	0.14	75.0271169436954	0.105245346869712	56.4018210526692	0.0252973318213783	0.078603079225242	1.33022508038585	0.747536155321728	2.3227209911059	10	104	1
SPAC1002.04c	21	56	7	100	641	300	0.21	112.540675415543	0.0873634945397816	46.8187937246149	0.220041892094144	0.634162069903216	2.40375	1.41046852832347	4.06497886807961	9	112	1
SPAC1002.05c	4	125	67	100	2086	300	0.04	21.4363191267701	0.0599232981783317	32.113373571983	0.0100799247228649	0.0896940889225344	0.66752	0.210267229718962	1.87101869492407	5	99	1
SPAC1002.06c	6	12	5	100	311	300	0.06	32.1544786901552	0.0385852090032154	20.6781213441512	0.167633137742897	1.42985037844287	1.555	0.521339058380411	4.44683467695733	3	103	1
SPAC1002.07c	7	192	16	100	1084	300	0.07	37.5135584718477	0.177121771217712	94.920970303041	0.0157441895664126	0.0800016248152438	0.395208333333333	0.170667014899912	0.867217612997242	16	91	1
SPAC1002.08c	18	76	12	100	1783	300	0.18	96.4634360704655	0.0426247896803141	22.8429648574667	0.136862853443291	0.405258409018525	4.2228947368421	2.44026467689388	7.22575743280031	4	114	0.0333688962768802
SPAC1002.09c	2	545	18	100	2132	300	0.02	10.7181595633851	0.25562851782364	136.99336214927	0.000633958015208686	0.014850637136361	0.0782385321100918	0.0135159848842492	0.316615583747217	20	82	1
SPAC1002.10c	6	117	31	100	1806	300	0.06	32.1544786901552	0.0647840531561462	34.7182909445197	0.0203913635642817	0.120586351382123	0.926153846153846	0.368268025970927	2.17778950596114	6	100	1
SPAC1002.11	3	97	10	100	1871	300	0.03	16.0772393450776	0.0518439337252806	27.7835777030559	0.0078408354017901	0.100731321272129	0.578659793814433	0.146702030367493	1.88468302100153	5	98	1
SPAC1002.12c	19	159	3	100	1692	300	0.19	101.822515852158	0.0939716312056738	50.3601468846993	0.0719973030887365	0.196083243387991	2.02188679245283	1.21819436826142	3.31772847812481	10	109	1
SPAC1002.13c	78	1094	437	100	1829	300	0.78	418.008222972017	0.598141060688901	320.548566493801	0.0562666689805591	0.0902184979910424	1.30404021937843	1.02911737565443	1.65009632825617	66	112	1
SPAC1002.14	5	101	38	100	1485	300	0.05	26.7953989084626	0.068013468013468	36.4489601313768	0.0178060808869474	0.125998019472127	0.735148514851485	0.264420301171169	1.87107058916109	6	99	1
SPAC1002.15c	1	79	1	100	2754	300	0.01	5.35907978169253	0.0286855482933914	15.3728141885879	0.000653273939375048	0.083726477547001	0.348607594936709	0.0179911642903888	2.30582719164441	2	99	1
SPAC1002.16c	1	114	3	100	1906	300	0.01	5.35907978169253	0.0598111227701994	32.0532578758105	0.000454287800892566	0.0576973078617017	0.16719298245614	0.0086587254850123	1.09971068784403	5	96	1
SPAC1002.17c	0	27	10	100	990	300	0	0	0.0272727272727273	14.6156721318887	0.00339432100419189	0.183491530730493	0	0.0336037779414997	1.81656615423188	2	98	1
SPAC1002.18	1	49	1	100	1505	300	0.01	5.35907978169253	0.0325581395348837	17.4481667310919	0.00104598122796186	0.136503271149038	0.307142857142857	0.015742017480826	2.05437423079302	3	98	1
SPAC1002.19	1	54	2	100	1563	300	0.01	5.35907978169253	0.0345489443378119	18.5150549079588	0.000950728189351767	0.123527161358272	0.289444444444444	0.0148598815995681	1.93072953202979	3	98	1
SPAC1002.20	1	3	23	100	548	300	0.01	5.35907978169253	0.00547445255474453	2.93380280019664	0.0133674946082822	3.55733427163736	1.82666666666667	0.0732538704533864	19.4941918085727	0	101	1
SPAC1006.01	11	714	80	100	1664	300	0.11	58.9498775986178	0.429086538461538	229.950899286566	0.00806321693674806	0.0286336012133316	0.256358543417367	0.134171929827488	0.476463124189838	33	78	1
SPAC1006.02	64	75	10	100	1217	300	0.64	342.981106028322	0.0616269515201315	33.0263749898882	0.60332874909679	1.20645872654181	10.3850666666667	7.34251087650794	14.6826027020138	9	155	3.66314557296057e-25
SPAC1006.03c	26	518	16	100	2770	300	0.26	139.336074324006	0.187003610108303	100.216726603492	0.0331322136480651	0.075476186239517	1.39034749034749	0.917762318051404	2.09069035883462	19	107	1
