V4	CDK9as_dis2ts_DMSO_30Cr1_pr_counts	CDK9as_dis2ts_DMSO_30Cr1gb_counts	CDK9as_dis2ts_DMSO_30Cr1term_counts	CDK9as_dis2ts_DMSO_30Cr1pr_map	CDK9as_dis2ts_DMSO_30Cr1gb_map	CDK9as_dis2ts_DMSO_30Cr1term_map	CDK9as_dis2ts_DMSO_30Cr1pr_density	CDK9as_dis2ts_DMSO_30Cr1pr_densityRPKM	CDK9as_dis2ts_DMSO_30Cr1gb_density	CDK9as_dis2ts_DMSO_30Cr1gb_densityRPKM	CDK9as_dis2ts_DMSO_30Cr1pause_index_CI_low	CDK9as_dis2ts_DMSO_30Cr1pause_index_CI_high	CDK9as_dis2ts_DMSO_30Cr1pause_index_scaled	CDK9as_dis2ts_DMSO_30Cr1pause_index_CI_low_scaled	CDK9as_dis2ts_DMSO_30Cr1pause_index_CI_high_scaled	CDK9as_dis2ts_DMSO_30Cr1_ExpPR	CDK9as_dis2ts_DMSO_30Cr1_ExpGB	CDK9as_dis2ts_DMSO_30Cr1Fexact_Pval
SPAC1002.01	31	27	44	100	481	300	0.31	133.830376473483	0.0561330561330561	24.2332517254647	0.66609671077177	1.98158727564271	5.52259259259259	3.20392517881222	9.53143479584144	6	125	2.95672109790906e-05
SPAC1002.02	14	82	25	100	837	300	0.14	60.4395248589924	0.0979689366786141	42.2942570271154	0.0927471633722493	0.308865763226659	1.4290243902439	0.776293757425727	2.58520643820714	10	104	1
SPAC1002.03c	18	255	45	100	2955	300	0.18	77.7079605329903	0.0862944162436548	37.2542393982187	0.0423956389037277	0.116036555545607	2.08588235294118	1.25279112960515	3.4288802163727	9	109	1
SPAC1002.04c	29	76	27	100	641	300	0.29	125.196158636484	0.118564742589704	51.1856907653602	0.243105880250498	0.596108641495975	2.44592105263158	1.55830869240569	3.8210563919892	13	116	1
SPAC1002.05c	5	185	94	100	2086	300	0.05	21.5855445924973	0.088686481303931	38.2869199387536	0.00982370140661173	0.0679922623928052	0.563783783783784	0.204922411341921	1.41831859351392	8	97	1
SPAC1002.06c	16	22	11	100	311	300	0.16	69.0737426959914	0.0707395498392283	30.539034150157	0.364634300150687	1.44233395958122	2.26181818181818	1.13401267346864	4.48565861429759	7	109	1
SPAC1002.07c	13	65	38	100	1084	300	0.13	56.122415940493	0.0599630996309963	25.8867232197846	0.105145775338739	0.373264670451254	2.168	1.13978020467193	4.04618902769159	6	107	1
SPAC1002.08c	36	166	48	100	1783	300	0.36	155.415921065981	0.0931015143017386	40.1929377717841	0.148698004316054	0.315012951104741	3.86674698795181	2.65128541695525	5.61668091819753	11	125	2.48815878650755e-05
SPAC1002.09c	13	408	60	100	2132	300	0.13	56.122415940493	0.191369606003752	82.6163432808527	0.0175558417886415	0.0566092122097837	0.679313725490196	0.374290546933836	1.20690840431259	18	95	1
SPAC1002.10c	3	54	64	100	1806	300	0.03	12.9513267554984	0.0299003322259136	12.9082990918589	0.0138817681280433	0.184093203713225	1.00333333333333	0.250704732392462	3.32472325906085	2	101	1
SPAC1002.11	13	96	36	100	1871	300	0.13	56.122415940493	0.051309460181721	22.1508528153901	0.0724555378772597	0.248084114394149	2.53364583333333	1.35564311368353	4.64165378031453	5	108	1
SPAC1002.12c	28	217	32	100	1692	300	0.28	120.879049717985	0.128250591016548	55.3671770280368	0.085252962961905	0.194062663966037	2.18322580645161	1.44248013331543	3.28354027430534	14	114	1
SPAC1002.13c	168	2343	366	100	1829	300	1.68	725.274298307909	1.28102788408967	553.033690324999	0.061113892075689	0.0840897301690049	1.31144686299616	1.11777308606435	1.5380011647911	150	118	1
SPAC1002.14	5	138	89	100	1485	300	0.05	21.5855445924973	0.0929292929292929	40.1185879294899	0.01311276953011	0.0915853557519629	0.53804347826087	0.194724627522134	1.36004253291665	8	97	1
SPAC1002.15c	2	116	6	100	2754	300	0.02	8.63421783699892	0.0421205519244735	18.1839010365264	0.00294982799677859	0.0706366988850808	0.474827586206897	0.0812382630312824	1.94533468729513	4	98	1
SPAC1002.16c	2	31	3	100	1906	300	0.02	8.63421783699892	0.0162644281217209	7.02153076985746	0.0106801732844829	0.275851694734321	1.22967741935484	0.203564102802243	5.25773330163615	1	101	1
SPAC1002.17c	0	62	11	100	990	300	0	0	0.0626262626262626	27.0364396916128	0.00147125141445871	0.0783875109585982	0	0.0145653890031413	0.776036358490122	5	95	1
SPAC1002.18	2	42	7	100	1505	300	0.02	8.63421783699892	0.027906976744186	12.0477458190683	0.00797536691687462	0.200526163723088	0.716666666666667	0.120029272098963	3.01791876403248	2	100	1
SPAC1002.19	5	80	8	100	1563	300	0.05	21.5855445924973	0.0511836212412028	22.0965267741495	0.022345592620962	0.160140379292834	0.976875	0.349261612665636	2.50299412834699	5	100	1
SPAC1002.20	1	1	26	100	548	300	0.01	4.31710891849946	0.00182481751824818	0.787793598266325	0.027408528703162	36.4849938072245	5.48	0.150198737293328	199.93776606359	0	101	1
SPAC1006.01	45	421	95	100	1664	300	0.45	194.269901332476	0.253004807692308	109.22493117117	0.0776109590622549	0.146749042479364	1.77862232779097	1.29144635879592	2.44190406685662	29	116	1
SPAC1006.02	53	172	33	100	1217	300	0.53	228.806772680471	0.141331142152835	61.0141934249718	0.223732944589284	0.423513433796385	3.75005813953488	2.72282993565159	5.154158489302	18	135	2.07179783471393e-07
SPAC1006.03c	24	423	38	100	2770	300	0.24	103.610614043987	0.152707581227437	65.9255260839448	0.0367359559779038	0.0869007491447042	1.57163120567376	1.01758598058793	2.40715075130831	16	108	1
