V4	Mcs6as_Cdk9as_DMSOr1_pr_counts	Mcs6as_Cdk9as_DMSOr1gb_counts	Mcs6as_Cdk9as_DMSOr1term_counts	Mcs6as_Cdk9as_DMSOr1pr_map	Mcs6as_Cdk9as_DMSOr1gb_map	Mcs6as_Cdk9as_DMSOr1term_map	Mcs6as_Cdk9as_DMSOr1pr_density	Mcs6as_Cdk9as_DMSOr1pr_densityRPKM	Mcs6as_Cdk9as_DMSOr1gb_density	Mcs6as_Cdk9as_DMSOr1gb_densityRPKM	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high	Mcs6as_Cdk9as_DMSOr1pause_index_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_low_scaled	Mcs6as_Cdk9as_DMSOr1pause_index_CI_high_scaled	Mcs6as_Cdk9as_DMSOr1_ExpPR	Mcs6as_Cdk9as_DMSOr1_ExpGB	Mcs6as_Cdk9as_DMSOr1Fexact_Pval
SPAC1039.07c	27	203	53	100	1430	300	0.27	46.9519245333022	0.141958041958042	24.6859380478124	0.0871106211919297	0.201730982584877	1.90197044334975	1.24568188304459	2.88475305096374	15	112	1
SPAC1039.08	8	119	10	100	995	300	0.08	13.9116813432007	0.119597989949749	20.7976140683527	0.0304879823477366	0.141958209651403	0.66890756302521	0.303355424359979	1.41248418603146	11	97	1
SPAC1039.09	0	307	14	100	3060	300	0	0	0.100326797385621	17.4464304426577	0.000296274071698946	0.0156463109048024	0	0.00906598659398775	0.478777113686953	9	91	1
SPAC1039.10	0	56	18	100	888	300	0	0	0.0630630630630631	10.9664154732438	0.00162951508688572	0.0869233329225396	0	0.0144700939715452	0.771879196352151	5	95	1
SPAC1039.11c	0	367	23	100	3471	300	0	0	0.105733218092769	18.3865854687217	0.000247807540109176	0.0130820111763107	0	0.00860139971718949	0.454076607929746	9	91	1
SPAC105.01c	50	591	25	100	3151	300	0.5	86.9480083950041	0.187559504919073	32.6158508165328	0.0626819514056801	0.113878964561779	2.665820642978	1.97510828879298	3.58832617334164	23	127	0.00120008866732629
SPAC105.02c	28	412	74	100	1418	300	0.28	48.6908847012023	0.290550070521862	50.5254999418077	0.0454246291486282	0.101012321166136	0.963689320388349	0.644121241327547	1.43235471413581	28	100	1
SPAC105.03c	16	667	41	100	2487	294	0.16	27.8233626864013	0.268194611982308	46.6379747482652	0.0141067346125563	0.0401567950853963	0.596581709145427	0.350834489814275	0.998699493773805	24	92	1
SPAC1071.01c	285	742	68	100	2319	300	2.85	495.603647851523	0.319965502371712	55.6407263726546	0.334257277423656	0.441302056528194	8.9072102425876	7.75142626345458	10.2337946908888	93	292	8.45043382235121e-78
SPAC1071.02	6	629	55	100	3405	300	0.06	10.4337610074005	0.184728340675477	32.1235226316931	0.00386157019431334	0.0219970826354797	0.324801271860095	0.131486465116369	0.749000663738085	16	90	1
SPAC1071.03c	36	619	46	100	1677	300	0.36	62.602566044403	0.369111508646392	64.1870211049583	0.0409241505496936	0.0822768590789273	0.975315024232633	0.686298004718362	1.37978292675361	36	100	1
SPAC1071.04c	8	86	81	100	331	300	0.08	13.9116813432007	0.259818731117825	45.1814424288239	0.0417941212262024	0.198414652854521	0.307906976744186	0.13833854125873	0.656752500948463	22	86	1
SPAC1071.05	44	371	94	100	1458	300	0.44	76.5142473876036	0.254458161865569	44.2492607881297	0.085640525258868	0.163711707746029	1.72916442048518	1.2486388582743	2.38691669893711	29	115	1
SPAC1071.06	161	407	16	100	1678	300	1.61	279.972587031913	0.242550655542312	42.1785928686134	0.328195906281638	0.476626402952644	6.6377886977887	5.50712730740588	7.99779104154537	50	211	1.53920453096949e-39
SPAC1071.07c	336	531	352	100	468	300	3.36	584.290616414428	1.13461538461538	197.305095973279	0.550658263447607	0.727066984699943	2.96135593220339	2.5770806729348	3.40267348839574	231	205	1.59808293724164e-14
SPAC1071.08	69	419	455	100	320	300	0.69	119.988251585106	1.309375	227.695096984417	0.12657050768595	0.213919986950789	0.526968973747017	0.405025624595041	0.684543958242525	95	74	1
SPAC1071.09c	170	170	569	100	2232	300	1.7	295.623228543014	0.0761648745519713	13.2447683038985	0.804066798392971	1.24367776657191	22.32	17.9467709401311	27.7588877498851	19	251	2.40841584530736e-96
SPAC1071.10c	424	19336	686	100	4273	300	4.24	737.319111189635	4.5251579686403	786.906946092113	0.0198920153277685	0.0241696803368166	0.93698386429458	0.849985814955548	1.03277044079217	429	95	1
SPAC1071.11	53	846	78	100	2136	300	0.53	92.1648888987044	0.396067415730337	68.8745459758179	0.0469738118129151	0.0833414280536112	1.33815602836879	1.00336062032387	1.78017290322513	43	110	1
