V4	Isk1as_DMSOr2_pr_counts	Isk1as_DMSOr2gb_counts	Isk1as_DMSOr2term_counts	Isk1as_DMSOr2pr_map	Isk1as_DMSOr2gb_map	Isk1as_DMSOr2term_map	Isk1as_DMSOr2pr_density	Isk1as_DMSOr2pr_densityRPKM	Isk1as_DMSOr2gb_density	Isk1as_DMSOr2gb_densityRPKM	Isk1as_DMSOr2pause_index_CI_low	Isk1as_DMSOr2pause_index_CI_high	Isk1as_DMSOr2pause_index_scaled	Isk1as_DMSOr2pause_index_CI_low_scaled	Isk1as_DMSOr2pause_index_CI_high_scaled	Isk1as_DMSOr2_ExpPR	Isk1as_DMSOr2_ExpGB	Isk1as_DMSOr2Fexact_Pval
SPAC1002.01	69	115	99	100	481	300	0.69	83.2348086522222	0.239085239085239	28.840890038885	0.440329654305256	0.816842563764176	2.886	2.11798563720828	3.92901273170568	32	137	0.00015085404856524
SPAC1002.02	49	377	102	100	837	300	0.49	59.1087771588244	0.450418160095579	54.334013578321	0.0953814085461151	0.176630676710172	1.08787798408488	0.798342389530983	1.47839876406414	46	103	1
SPAC1002.03c	53	956	121	100	2955	300	0.53	63.933983457504	0.323519458544839	39.0262032278989	0.0416103265624576	0.0736776819431956	1.63823221757322	1.22958514992062	2.17717550142143	37	116	1
SPAC1002.04c	156	191	55	100	641	300	1.56	188.183045648502	0.297971918876755	35.9443994948437	0.657425458533874	1.01456717376053	5.23539267015707	4.21409718920213	6.50337558380497	58	198	8.89368680669686e-25
SPAC1002.05c	19	500	302	100	2086	300	0.19	22.9197299187278	0.239693192713327	28.9142275807739	0.0233350415823148	0.0611429716928025	0.79268	0.486768967407087	1.27544238951186	23	96	1
SPAC1002.06c	27	44	28	100	311	300	0.27	32.5701425160869	0.141479099678457	17.0666460725	0.369816588727843	1.01459921709628	1.90840909090909	1.15012959094359	3.15540356516943	15	112	1
SPAC1002.07c	37	200	62	100	1084	300	0.37	44.6331582627858	0.18450184501845	22.2564866175256	0.12816849305389	0.265970140866725	2.0054	1.38934646470417	2.8831163269953	21	116	1
SPAC1002.08c	94	590	97	100	1783	300	0.94	113.392348018969	0.330902972518228	39.9168776811684	0.127360897283893	0.199105547882346	2.84071186440678	2.27084479857181	3.55005191874224	48	146	7.03938938022622e-08
SPAC1002.09c	132	1645	215	100	2132	300	1.32	159.231807856425	0.771575984990619	93.0753325671653	0.0669255003135506	0.0961503819383003	1.71078419452888	1.4268516666849	2.04992614292456	101	131	0.332442990109401
SPAC1002.10c	67	179	389	100	1806	300	0.67	80.8222055028824	0.0991140642303433	11.9561451752995	0.279872835079595	0.499917404255674	6.75988826815642	5.05450340153748	9.02850832085747	15	152	3.67007825881896e-20
SPAC1002.11	27	569	162	100	1871	300	0.27	32.5701425160869	0.304115446285409	36.6854941735524	0.0315971707011398	0.0707622683623957	0.887820738137083	0.591183063818327	1.32396204106042	29	98	1
SPAC1002.12c	204	409	47	100	1692	300	2.04	246.085521232657	0.241725768321513	29.1594174964529	0.420137111444395	0.592013209500808	8.43931540342298	7.10871992563916	10.0168635047537	59	245	1.38823945493066e-57
SPAC1002.13c	670	9003	1092	100	1829	300	6.7	808.222055028824	4.92236194641881	593.785296706013	0.0687463619125969	0.0805566909046509	1.36113517716317	1.2573709593814	1.47338187664606	639	131	1
SPAC1002.14	68	637	218	100	1485	300	0.68	82.0285070775523	0.428956228956229	51.7450574454355	0.082443296028801	0.13799159800778	1.58524332810047	1.22428294602769	2.04917523041554	50	118	1
SPAC1002.15c	15	446	12	100	2754	300	0.15	18.0945236200483	0.161946259985476	19.5356028432378	0.0193607226983765	0.0574293027829957	0.926233183856502	0.533194303113288	1.5816029986437	16	99	1
SPAC1002.16c	28	206	24	100	1906	300	0.28	33.7764440907568	0.108079748163694	13.0376770399788	0.0896900536177135	0.2046941884995	2.59067961165049	1.70949242195362	3.90147123280047	12	116	0.470147245872724
SPAC1002.17c	99	2750	331	100	990	300	0.99	119.423855892319	2.77777777777778	335.083770741635	0.0293010247726143	0.0441864685852424	0.3564	0.290080145248882	0.437446038993899	146	53	1
SPAC1002.18	65	828	78	100	1505	300	0.65	78.4096023535426	0.550166112956811	66.3666248389811	0.0604677929764081	0.101729114472477	1.181461352657	0.910040284294942	1.53102317281077	58	107	1
SPAC1002.19	469	3846	215	100	1563	300	4.69	565.755438520177	2.46065259117083	296.82890954449	0.110664384973777	0.134363044998288	1.9059984399376	1.72968433714014	2.10009439332324	404	165	1.07952665027558e-05
SPAC1002.20	1	44	197	100	548	300	0.01	1.20630157466989	0.0802919708029197	9.68563308129106	0.00116244621996113	0.152524184436484	0.124545454545455	0.00637020528538701	0.835832530711931	7	94	1
SPAC1006.01	289	1883	313	100	1664	300	2.89	348.621155079597	1.13161057692308	136.506362085541	0.135331582875105	0.174026748662072	2.55388210302708	2.25191753904174	2.89580509773687	206	183	1.47811611026075e-12
SPAC1006.02	157	454	54	100	1217	300	1.57	189.389347223172	0.373048479868529	45.0008968693614	0.287208482839583	0.416219994146976	4.20856828193833	3.49532723615773	5.06539732876869	69	188	7.25398018535925e-22
SPAC1006.03c	208	1441	166	100	2770	300	2.08	250.910727531336	0.520216606498195	62.7538111588197	0.124468008687944	0.167343553891669	3.99833448993754	3.44776384065606	4.63541644279923	105	203	1.35007548154604e-26
