V4	Isk1as_DMSOr1_pr_counts	Isk1as_DMSOr1gb_counts	Isk1as_DMSOr1term_counts	Isk1as_DMSOr1pr_map	Isk1as_DMSOr1gb_map	Isk1as_DMSOr1term_map	Isk1as_DMSOr1pr_density	Isk1as_DMSOr1pr_densityRPKM	Isk1as_DMSOr1gb_density	Isk1as_DMSOr1gb_densityRPKM	Isk1as_DMSOr1pause_index_CI_low	Isk1as_DMSOr1pause_index_CI_high	Isk1as_DMSOr1pause_index_scaled	Isk1as_DMSOr1pause_index_CI_low_scaled	Isk1as_DMSOr1pause_index_CI_high_scaled	Isk1as_DMSOr1_ExpPR	Isk1as_DMSOr1_ExpGB	Isk1as_DMSOr1Fexact_Pval
SPAC1002.01	70	112	75	100	481	300	0.7	102.281072478414	0.232848232848233	34.0228099720295	0.45861066526587	0.8510572693653	3.00625	2.20591729992883	4.0935854656471	32	138	4.3861728367098e-05
SPAC1002.02	35	266	118	100	837	300	0.35	51.1405362392068	0.317801672640382	46.4358513044172	0.0909713558271757	0.189457074311363	1.10131578947368	0.761430248273461	1.58575571198611	32	103	1
SPAC1002.03c	32	793	119	100	2955	300	0.32	46.7570617044176	0.268358714043993	39.2114529733536	0.0278564669990647	0.0581373333334017	1.19243379571248	0.823158599822361	1.71795820000202	27	105	1
SPAC1002.04c	124	131	28	100	641	300	1.24	181.183614104618	0.204368174726989	29.8614229879032	0.73509987100349	1.21879563381596	6.06748091603053	4.71199017313237	7.81248001276028	38	186	1.71961125000395e-24
SPAC1002.05c	24	541	248	100	2086	300	0.24	35.0677962783132	0.25934803451582	37.8948501649238	0.0287979169745606	0.0677663797696435	0.92539741219963	0.600724548089334	1.41360668199476	25	99	1
SPAC1002.06c	21	37	28	100	311	300	0.21	30.6843217435241	0.118971061093248	17.3835538893032	0.321109205315953	0.997473164027094	1.76513513513513	0.998649628532614	3.10214154012426	12	109	1
SPAC1002.07c	42	206	56	100	1084	300	0.42	61.3686434870481	0.190036900369004	27.767397114593	0.144207763700397	0.287322050974839	2.21009708737864	1.5632121585123	3.11457103256726	22	120	0.641133883054763
SPAC1002.08c	65	545	106	100	1783	300	0.65	94.9752815870983	0.305664610207515	44.6624345010299	0.0914104276627187	0.155332399549198	2.12651376146789	1.62984792522627	2.7695766839622	38	127	0.0517103113000292
SPAC1002.09c	78	1411	169	100	2132	300	0.78	113.970337904518	0.661819887429643	96.7023541054955	0.0437045804642039	0.0698223870603712	1.17856839121191	0.931781655496826	1.48861329212712	70	108	1
SPAC1002.10c	67	171	220	100	1806	300	0.67	97.8975979436244	0.0946843853820598	13.8348864054807	0.292415631167808	0.524306147574345	7.07614035087719	5.28102629889061	9.46896902519267	14	153	5.23510865079829e-21
SPAC1002.11	17	462	137	100	1871	300	0.17	24.8396890304719	0.246926777124532	36.0799079827648	0.021938256130352	0.0608478594840128	0.688463203463204	0.410464772198887	1.13846345094588	23	94	1
SPAC1002.12c	149	335	42	100	1692	300	1.49	217.712568561195	0.197990543735225	28.9295502197472	0.364978263135688	0.541821896902312	7.52561194029851	6.17543221225584	9.16762649558712	41	208	4.78785864166305e-42
SPAC1002.13c	619	6922	922	100	1829	300	6.19	904.456912344829	3.784581738655	552.987255874075	0.0822932091635417	0.0971689668854621	1.63558364634499	1.50514279560118	1.7772204043351	568	151	0.0135484727842045
SPAC1002.14	38	594	166	100	1485	300	0.38	55.5240107739959	0.4	58.446327130522	0.0454155234632524	0.0897395348783615	0.95	0.674420523429298	1.33263209294367	39	99	1
SPAC1002.15c	10	369	22	100	2754	300	0.1	14.6115817826305	0.133986928104575	19.5776095780343	0.0136469726640988	0.0521369082291989	0.746341463414634	0.375837627169282	1.43585045263214	12	98	1
SPAC1002.16c	23	200	15	100	1906	300	0.23	33.6066381000502	0.104931794333683	15.3321949450478	0.0728256186162993	0.18004590372082	2.1919	1.38805629082666	3.43167492491883	11	112	1
SPAC1002.17c	47	1662	241	100	990	300	0.47	68.6744343783634	1.67878787878788	245.297463865979	0.0209206414749608	0.0381084610778221	0.279963898916968	0.207114350602112	0.377273764670438	92	55	1
SPAC1002.18	45	661	68	100	1505	300	0.45	65.7521180218373	0.439202657807309	64.1744555370018	0.0497174045827792	0.0929217776424745	1.02458396369138	0.748246938970827	1.39847275351924	44	101	1
SPAC1002.19	291	2383	144	100	1563	300	2.91	425.197029874548	1.52463211772233	222.77286876525	0.10791118244322	0.138162631506562	1.90865715484683	1.68665178158753	2.15948193044756	236	155	0.000109030644003732
SPAC1002.20	2	40	122	100	548	300	0.02	2.9223163565261	0.072992700729927	10.665388162504	0.00836032650796309	0.211005400062266	0.274	0.0458145892636378	1.15630959234122	6	96	1
