V4	ePRO_Cdk9as_5min_r2_pr_counts	ePRO_Cdk9as_5min_r2gb_counts	ePRO_Cdk9as_5min_r2term_counts	ePRO_Cdk9as_5min_r2pr_map	ePRO_Cdk9as_5min_r2gb_map	ePRO_Cdk9as_5min_r2term_map	ePRO_Cdk9as_5min_r2pr_density	ePRO_Cdk9as_5min_r2pr_densityRPKM	ePRO_Cdk9as_5min_r2gb_density	ePRO_Cdk9as_5min_r2gb_densityRPKM	ePRO_Cdk9as_5min_r2pause_index_CI_low	ePRO_Cdk9as_5min_r2pause_index_CI_high	ePRO_Cdk9as_5min_r2pause_index_scaled	ePRO_Cdk9as_5min_r2pause_index_CI_low_scaled	ePRO_Cdk9as_5min_r2pause_index_CI_high_scaled	ePRO_Cdk9as_5min_r2_ExpPR	ePRO_Cdk9as_5min_r2_ExpGB	ePRO_Cdk9as_5min_r2Fexact_Pval
SPAC1002.01	10	41	126	100	481	300	0.1	26.7202925123862	0.0852390852390852	22.7761329107658	0.114692778970515	0.504810658944409	1.17317073170732	0.551672266848177	2.42813926952261	8	102	1
SPAC1002.02	22	161	65	100	837	300	0.22	58.7846435272496	0.192353643966547	51.3974563260953	0.0852050599428471	0.217170691352083	1.14372670807453	0.71316635172163	1.81771868661693	19	103	1
SPAC1002.03c	26	448	33	100	2955	300	0.26	69.4727605322041	0.15160744500846	40.5099527768156	0.0382488577383316	0.0874097679880785	1.71495535714286	1.1302537461677	2.58295864404772	16	110	1
SPAC1002.04c	34	98	44	100	641	300	0.34	90.848994542113	0.152886115444618	40.8516172576263	0.230374003515024	0.520465951491115	2.22387755102041	1.4766973625313	3.33618674905805	17	117	1
SPAC1002.05c	5	228	116	100	2086	300	0.05	13.3601462561931	0.109300095877277	29.205305334727	0.00799012829128902	0.0550231356489859	0.457456140350877	0.166674076156289	1.14778260963785	10	95	1
SPAC1002.06c	19	18	11	100	311	300	0.19	50.7685557735338	0.0578778135048231	15.4651210682621	0.53058668951334	2.10198788628495	3.28277777777778	1.65012460438649	6.53718232634618	6	113	1
SPAC1002.07c	18	271	45	100	1084	300	0.18	48.0965265222951	0.25	66.8007312809655	0.0399327077480916	0.109072462435628	0.72	0.432870551989313	1.18234549280221	23	95	1
SPAC1002.08c	41	168	42	100	1783	300	0.41	109.553199300783	0.0942232192933259	25.1767198097638	0.170849201346693	0.34747846111418	4.35136904761905	3.04624126001153	6.19554096166582	12	129	1.70463977690641e-07
SPAC1002.09c	3	1023	31	100	2132	300	0.03	8.01608775371586	0.479831144465291	128.212285366656	0.000756031203035994	0.00936456811273128	0.0625219941348974	0.0161185852487274	0.199652592163431	33	70	1
SPAC1002.10c	9	129	74	100	1806	300	0.09	24.0482632611476	0.0714285714285714	19.085923223133	0.0332278266241548	0.141277352849867	1.26	0.600094548832236	2.5514689924686	7	102	1
SPAC1002.11	7	235	46	100	1871	300	0.07	18.7042047586703	0.125601282736505	33.5610301465032	0.0128974707284683	0.0651769761507332	0.55731914893617	0.241311677329642	1.21946122378022	11	96	1
SPAC1002.12c	45	196	11	100	1692	300	0.45	120.241316305738	0.115839243498818	30.9525847070195	0.163795264051343	0.320901469723352	3.88469387755102	2.77141586774872	5.42965286771911	15	130	6.35249671755475e-07
SPAC1002.13c	203	2919	875	100	1829	300	2.03	542.42193800144	1.59595407326408	426.443596739504	0.0601606714659743	0.080365073927026	1.27196642685851	1.10033868111267	1.46987720212531	186	117	1
SPAC1002.14	14	255	64	100	1485	300	0.14	37.4084095173407	0.171717171717172	45.8833305768248	0.0307684106107753	0.0961382312396419	0.815294117647059	0.456910897570013	1.42765273390868	16	98	1
SPAC1002.15c	3	130	1	100	2754	300	0.03	8.01608775371586	0.04720406681191	12.6130647298846	0.00587785731458905	0.074747135163113	0.635538461538462	0.161876190443782	2.05853610239213	4	99	1
SPAC1002.16c	2	223	5	100	1906	300	0.02	5.34405850247724	0.116998950682057	31.262461858668	0.00154349889403641	0.0364691422191435	0.170941704035874	0.029419088920334	0.695101850696876	10	92	1
SPAC1002.17c	0	92	59	100	990	300	0	0	0.0929292929292929	24.8309789003993	0.000990331644204421	0.0525735578030503	0	0.00980428327762377	0.520478222250198	8	92	1
SPAC1002.18	1	150	21	100	1505	300	0.01	2.67202925123862	0.0996677740863787	26.6315207764646	0.000345912909165542	0.0437173310884669	0.100333333333333	0.0052059892829414	0.657945832881427	9	92	1
SPAC1002.19	5	134	20	100	1563	300	0.05	13.3601462561931	0.0857325655790147	22.9079923010861	0.0134973732314117	0.0943720976314315	0.583208955223881	0.210963943606965	1.47503588597927	8	97	1
SPAC1002.20	1	14	46	100	548	300	0.01	2.67202925123862	0.0255474452554745	6.8263521017045	0.00350210863509423	0.514391103811047	0.391428571428571	0.0191915553203164	2.81886324888454	2	99	1
SPAC1006.01	11	1409	139	100	1664	300	0.11	29.3923217636248	0.846754807692308	226.255361478078	0.00409591616855412	0.0144730619289091	0.129907735982967	0.0681560450447405	0.240831750497048	50	61	1
SPAC1006.02	87	137	18	100	1217	300	0.87	232.46654485776	0.112571898110107	30.0795404617659	0.481114163093874	0.837718453343008	7.72839416058394	5.85515936485245	10.1950335771844	18	169	1.16134763632394e-26
SPAC1006.03c	64	851	41	100	2770	300	0.64	171.009872079272	0.307220216606498	82.0901405344428	0.0578305359480399	0.0976172245880111	2.08319623971798	1.6019058457607	2.70399712108791	38	126	0.0735742885601375
SPAC1006.04c	3	101	71	100	3993	300	0.03	8.01608775371586	0.0252942649636865	6.75870158715503	0.00753578426970861	0.0966587113855281	1.1860396039604	0.300903865889465	3.85958234562414	2	101	1
SPAC1006.05c	81	727	17	100	2032	300	0.81	216.434369350328	0.357775590551181	95.5986843331927	0.0879427318842526	0.140974827019174	2.26398899587345	1.78699631188801	2.86460848502961	47	134	0.00134296283355488
