V4	WT_DMSOr1_pr_counts	WT_DMSOr1gb_counts	WT_DMSOr1term_counts	WT_DMSOr1pr_map	WT_DMSOr1gb_map	WT_DMSOr1term_map	WT_DMSOr1pr_density	WT_DMSOr1pr_densityRPKM	WT_DMSOr1gb_density	WT_DMSOr1gb_densityRPKM	WT_DMSOr1pause_index_CI_low	WT_DMSOr1pause_index_CI_high	WT_DMSOr1pause_index_scaled	WT_DMSOr1pause_index_CI_low_scaled	WT_DMSOr1pause_index_CI_high_scaled	WT_DMSOr1_ExpPR	WT_DMSOr1_ExpGB	WT_DMSOr1Fexact_Pval
SPAC1039.09	0	90	3	100	3060	300	0	0	0.0294117647058824	4.77644380193845	0.00101239357055047	0.0537536843252837	0	0.0309792432588443	1.64486274035368	2	98	1
SPAC1039.10	1	33	6	100	888	300	0.01	1.62399089265907	0.0371621621621622	6.0351012902871	0.00153958136153327	0.205601017062752	0.269090909090909	0.0136714824904154	1.82573703151724	3	98	1
SPAC1039.11c	0	380	55	100	3471	300	0	0	0.109478536444829	17.7792146128046	0.000239324952279774	0.0126334007843552	0	0.00830696909363095	0.438505341224967	9	91	1
SPAC105.01c	66	683	36	100	3151	300	0.66	107.183398915499	0.216756585211044	35.2010720306616	0.0744211697126795	0.125250731949059	3.04489019033675	2.34501105764653	3.94665056371485	29	137	5.86552335235868e-07
SPAC105.02c	72	525	191	100	1418	300	0.72	116.927344271453	0.370239774330042	60.1266021612139	0.106343062728026	0.176595840184165	1.94468571428571	1.50794462948341	2.50412901381146	46	126	0.281824714972945
SPAC105.03c	15	558	23	100	2487	294	0.15	24.3598633898861	0.224366706875754	36.4369488582132	0.0155029395677565	0.0458157731735639	0.668548387096774	0.385558107050104	1.13943827882653	21	94	1
SPAC1071.01c	58	865	40	100	2319	300	0.58	94.1914717742263	0.373005605864597	60.5757706834885	0.0509120035334226	0.0881152228033733	1.55493641618497	1.18064936194007	2.04339201681023	42	116	1
SPAC1071.02	20	666	33	100	3405	300	0.2	32.4798178531815	0.195594713656388	31.7644033630233	0.0187193755010659	0.0476403129049559	1.02252252252252	0.637394735811293	1.62215265441375	19	101	1
SPAC1071.03c	42	726	42	100	1677	300	0.42	68.2076174916811	0.432915921288014	70.3051513458848	0.0418318209178301	0.0797186472440064	0.970165289256198	0.70151963679201	1.33688171428199	42	100	1
SPAC1071.04c	29	42	80	100	331	300	0.29	47.0957358871131	0.126888217522659	20.6065309642541	0.419042316156416	1.13476087327092	2.28547619047619	1.38703006647774	3.75605849052675	14	115	1
SPAC1071.05	34	311	155	100	1458	300	0.34	55.2156903504085	0.213305898491084	34.6406836499981	0.0754436954269305	0.157665970371591	1.59395498392283	1.09996907932465	2.2987698480178	23	111	1
SPAC1071.06	93	284	62	100	1678	300	0.93	151.031153017294	0.169249106078665	27.4859006862442	0.257283026952056	0.416429656195345	5.49485915492958	4.3172091922555	6.98768963095789	27	166	1.49080538582992e-21
SPAC1071.07c	654	328	311	100	468	300	6.54	1062.09004379903	0.700854700854701	113.818165126533	1.74253735279278	2.28176090381842	9.33146341463415	8.15507481107019	10.6786410298702	310	444	5.48520612391159e-78
SPAC1071.08	104	247	512	100	320	300	1.04	168.895052836544	0.771875	125.351797027122	0.332616400322382	0.532654623795562	1.34736842105263	1.06437248103162	1.7044947961458	88	116	1
SPAC1071.09c	175	240	777	100	2232	300	1.75	284.198406215338	0.10752688172043	17.4622676630008	0.597267355742603	0.890057387820791	16.275	13.3310073801749	19.8660808961601	26	249	3.18471669112928e-84
SPAC1071.10c	2194	34889	1050	100	4273	300	21.94	3563.03601849401	8.16498946875731	1325.98685359191	0.0602153467244149	0.065672717714379	2.68708246152082	2.57300176553425	2.80619522793542	2043	251	1.23831911602664e-24
SPAC1071.11	54	1218	47	100	2136	300	0.54	87.69550820359	0.570224719101124	92.6039750589303	0.0334191408522185	0.0586708767384039	0.946995073891626	0.713832848603387	1.25320992713231	55	99	1
SPAC1071.12c	1	60	19	100	736	300	0.01	1.62399089265907	0.0815217391304348	13.2390561901555	0.000857068701558265	0.11087817119528	0.122666666666667	0.00630802564346883	0.816063339997258	7	94	1
SPAC1071.13	12	1152	98	100	3378	300	0.12	19.4878907119089	0.341030195381883	55.3829931421922	0.00562626096275452	0.0188224848776523	0.351875	0.190055095321848	0.635823539167094	28	84	1
SPAC1093.01	161	4446	53	100	5223	300	1.61	261.462533718111	0.851234922458357	138.239776158573	0.0308415968757022	0.0424979546603371	1.8913697705803	1.61085660481792	2.2196681719094	120	141	0.00233632273399776
SPAC1093.02	119	310	91	100	992	300	1.19	193.25491622643	0.3125	50.7497153955961	0.308969533409552	0.476663637916521	3.808	3.06497777142276	4.72850328813189	52	167	5.16238349644869e-15
SPAC1093.03	20	527	48	100	3353	300	0.2	32.4798178531815	0.157172681181032	25.5247002812804	0.0236132587639159	0.0603195607381573	1.27248576850095	0.791752566354102	2.02251487155041	16	104	1
SPAC1093.04c	23	534	3	100	4949	300	0.23	37.3517905311587	0.107900585976965	17.5229568939169	0.0276935889399986	0.0663890620622301	2.13159176029963	1.37055571664053	3.28559468145977	11	112	1
SPAC1093.05	132	791	129	100	2479	300	1.32	214.366797830998	0.319080274304155	51.8183459497107	0.138175338723478	0.201421953398245	4.13689001264222	3.42536664695502	4.99325022474249	56	176	1.21863027413979e-20
SPAC1093.06c	3	2416	25	100	12942	300	0.03	4.87197267797722	0.186679029516303	30.3165043784911	0.000320451685526399	0.00396047078742451	0.160703642384106	0.0414728571408265	0.512564129308481	16	87	1
SPAC1093.07	0	248	9	100	1791	300	0	0	0.138470128419877	22.4874227459213	0.000366821864976028	0.0193822407025615	0	0.00656977960172066	0.347135930982876	12	88	1
SPAC10F6.01c	135	9472	430	100	4905	300	1.35	219.238770508975	1.93109072375127	313.607374827049	0.0119793029049122	0.0169464312931236	0.699086782094595	0.587584807485945	0.831222454927711	154	81	1
SPAC10F6.02c	15	531	53	100	3591	300	0.15	24.3598633898861	0.147869674185464	24.0139004177658	0.0162852033172902	0.0481638005231329	1.01440677966102	0.58480165112389	1.7295620767857	14	101	1
SPAC10F6.03c	398	1978	513	100	2113	300	3.98	646.348375278311	0.93610979649787	152.023378404148	0.180400334405194	0.224403029108333	4.2516380182002	3.81185906598174	4.74163600505908	240	258	2.83351917706135e-39
SPAC10F6.04	0	374	5	100	2665	300	0	0	0.140337711069418	22.7907164673356	0.000243166673074659	0.0128365670582072	0	0.00648039183743967	0.342094512101223	12	88	1
SPAC10F6.05c	2	290	57	100	2025	300	0.02	3.24798178531815	0.14320987654321	23.2571535245003	0.0011886554435397	0.0279908313621146	0.139655172413793	0.024070272731679	0.566814335082821	12	90	1
SPAC10F6.06	346	980	1104	100	890	300	3.46	561.90084886004	1.10112359550562	178.821469079314	0.311730473211522	0.399825347341607	3.14224489795918	2.77440121158254	3.5584455913403	233	213	1.53584573176415e-19
SPAC10F6.07c	19	116	34	100	366	300	0.19	30.8558269605224	0.316939890710383	51.4707496034023	0.0976992150471093	0.271581456839201	0.59948275862069	0.35757912707242	0.993988132031477	28	91	1
SPAC10F6.08c	117	252	22	100	983	300	1.17	190.006934441112	0.256358087487284	41.6323199338847	0.370612466681512	0.581336624259231	4.56392857142857	3.64312054747927	5.71453901646824	44	173	4.97890614395448e-19
SPAC10F6.09c	22	966	177	100	3689	300	0.22	35.7277996384996	0.261859582542694	42.5257577204843	0.0145551072174811	0.0352908441326523	0.840144927536232	0.536937905252878	1.30187924005354	25	97	1
SPAC10F6.10	14	301	47	100	1670	300	0.14	22.735872497227	0.180239520958084	29.2707340533162	0.0261269210573986	0.0812495194023421	0.776744186046512	0.436319581658556	1.35686697401911	17	97	1
SPAC10F6.11c	11	456	9	100	2545	300	0.11	17.8638998192498	0.179174852652259	29.0978328900801	0.0125903020051496	0.0449645449924573	0.613925438596491	0.320423186031057	1.14434767005804	16	95	1
SPAC10F6.12c	29	121	39	100	987	300	0.29	47.0957358871131	0.122593718338399	19.9091082078772	0.156427736397199	0.36519783229159	2.36553719008264	1.54394175824035	3.604502604718	14	115	1
SPAC10F6.13c	229	674	179	100	1199	300	2.29	371.893914418928	0.562135112593828	91.290230329626	0.291615785901158	0.395771681824127	4.07375370919881	3.49647327295488	4.74530246507128	118	211	3.48943482263535e-26
SPAC10F6.14c	35	337	264	100	1579	300	0.35	56.8396812430676	0.213426219126029	34.6602236115331	0.0721386279552011	0.14883802397124	1.63991097922849	1.13906893541263	2.35015239850587	23	112	1
SPAC10F6.15	2	15	2	100	1234	300	0.02	3.24798178531815	0.0121555915721232	1.97405700080114	0.0210791526483131	0.606412790019809	1.64533333333333	0.260116743680184	7.48313382884444	1	101	1
SPAC10F6.16	70	412	248	100	1061	300	0.7	113.679362486135	0.388312912346843	63.0616633153194	0.130763217950255	0.220418079072816	1.80266990291262	1.38739774245221	2.33863581896258	47	123	1
SPAC10F6.17c	33	295	45	100	1801	300	0.33	53.5916994577494	0.163797890061077	26.6006281695962	0.0767124855152276	0.162311663871242	2.01467796610169	1.38159186412925	2.92323306632106	18	115	1
SPAC110.01	1	5836	266	100	5792	300	0.01	1.62399089265907	1.00759668508287	163.632784004806	8.94311992012298e-06	0.00111320087855616	0.00992460589444825	0.000517985505773523	0.0644765948859725	50	51	1
SPAC110.02	125	834	435	100	3853	300	1.25	202.998861582384	0.216454710615105	35.1520478712086	0.123618641290854	0.181602057995879	5.77488009592326	4.76302624893659	6.99712729458123	40	185	4.83918152287215e-31
SPAC110.03	173	1515	184	100	1448	300	1.73	280.95042443002	1.04627071823204	169.913411766471	0.0972534971068302	0.134024373390436	1.65349174917492	1.4082306381069	1.94067292669351	139	134	0.414526382588538
SPAC110.04c	127	4089	182	100	2755	300	1.27	206.246843367702	1.48421052631579	241.034437752557	0.0259225396975241	0.0371875446401386	0.855673758865248	0.714165968666788	1.02451685483582	135	92	1
SPAC110.05	4	198	101	100	1707	300	0.04	6.4959635706363	0.115992970123023	18.8371527092265	0.006402936885468	0.0562307729255716	0.344848484848485	0.109298132634939	0.959859293839506	10	94	1
SPAC1142.01	402	498	15	100	1904	300	4.02	652.844338848948	0.26155462184874	42.4762323815241	0.706288498421297	0.922565899790647	15.3696385542169	13.4477330099415	17.5656547320139	104	398	1.44208169834972e-137
SPAC1142.02c	231	543	128	100	1080	300	2.31	375.141896204246	0.502777777777778	81.6506532142479	0.363605942508378	0.49763251326402	4.59447513812155	3.92694417909048	5.37443114325142	110	221	1.6604601101242e-30
SPAC1142.03c	12	259	376	100	2243	300	0.12	19.4878907119089	0.115470352206866	18.7522800356086	0.0247538390824843	0.0846765657070157	1.0392277992278	0.555228610620122	1.89929536880836	11	101	1
SPAC1142.04	12	873	256	100	2169	300	0.12	19.4878907119089	0.402489626556017	65.3639487916723	0.00741679033962883	0.0248642550254164	0.298144329896907	0.160870182466549	0.539305691501281	32	80	1
SPAC1142.05	64	322	174	100	969	300	0.64	103.935417130181	0.332301341589267	53.9654352359362	0.150567576184062	0.26191990206493	1.92596273291925	1.45899981322356	2.53800385100917	40	124	0.908370854144182
SPAC1142.06	87	562	169	100	1508	300	0.87	141.287207661339	0.372679045092838	60.522737511565	0.122686008819472	0.195111771456169	2.33444839857651	1.85010501299763	2.94228551355903	50	137	0.000357737750122346
SPAC1142.07c	11	124	50	100	1016	300	0.11	17.8638998192498	0.122047244094488	19.8203612883588	0.0453744472622808	0.16889851350362	0.901290322580645	0.461004384184773	1.71600889719678	12	99	1
SPAC1142.08	127	556	112	100	2324	300	1.27	206.246843367702	0.239242685025818	38.8527941617231	0.187461627157693	0.278154418218508	5.30841726618705	4.35660821514478	6.46430867939813	43	184	1.88426511374959e-27
SPAC1142.09	52	0	89	100	3	300	0.52	84.4475264182718	0	0	10.6692363928412	569.670129284907	NA	0.320077091785236	17.0901038785472	0	152	1
SPAC11D3.01c	23	7	36	100	130	300	0.23	37.3517905311587	0.0538461538461538	8.74456634508732	1.34190752309925	8.40289655863719	4.27142857142857	1.74447978002902	10.9237655262283	6	117	1
SPAC11D3.02c	155	143	101	100	450	300	1.55	251.718588362156	0.317777777777778	51.606821700055	0.858228340504686	1.36903895780355	4.87762237762238	3.86202753227109	6.16067531011598	61	194	2.6063430556254e-20
SPAC11D3.03c	6	39	36	100	1284	300	0.06	9.74394535595444	0.0303738317757009	4.93268261788971	0.0586381891385364	0.379097058927005	1.97538461538462	0.752914348538808	4.86760623662274	3	103	1
SPAC11D3.04c	1	261	22	100	1836	300	0.01	1.62399089265907	0.142156862745098	23.0861450427025	0.00019930911403267	0.0250226561081492	0.0703448275862069	0.00365931533363983	0.459415966145619	12	89	1
SPAC11D3.05	83	1861	58	100	1753	300	0.83	134.791244090703	1.06160867084997	172.404281302826	0.0355644039630735	0.0558580608784337	0.781832348199893	0.623444001472679	0.979191807198943	94	89	1
SPAC11D3.06	11	353	21	100	1521	300	0.11	17.8638998192498	0.232084155161078	37.6902554312067	0.0162276920076134	0.0582204219798867	0.473966005665722	0.246823195435799	0.885532618314077	20	91	1
SPAC11D3.07c	64	1039	8	100	4030	300	0.64	103.935417130181	0.257816377171216	41.8691448504411	0.0474470160040526	0.0798171326661911	2.48238691049086	1.91211474496332	3.2166304464475	33	131	0.000511276722122566
SPAC11D3.08c	14	666	119	100	3214	300	0.14	22.735872497227	0.207218419415059	33.6520825921264	0.011892506677178	0.0364505860046049	0.675615615615616	0.3822251646045	1.171521834188	19	95	1
SPAC11D3.09	0	56	10	100	1729	300	0	0	0.0323886639676113	5.25988953087959	0.00162951508688572	0.0869233329225396	0	0.0281743158522541	1.50290442623071	3	97	1
SPAC11D3.10	0	248	0	100	4126	300	0	0	0.060106640814348	9.76126372708314	0.000366821864976028	0.0193822407025615	0	0.0151350701489109	0.799711251387687	5	95	1
SPAC11D3.11c	14	315	36	100	2151	300	0.14	22.735872497227	0.146443514644351	23.7822934071412	0.0249800631723444	0.0775921448454769	0.956	0.537321158837127	1.66900703562621	14	100	1
SPAC11D3.13	1	205	134	100	920	300	0.01	1.62399089265907	0.222826086956522	36.186753586425	0.000253515111100293	0.0319061002040961	0.0448780487804878	0.00233233902212269	0.293536121877684	18	83	1
SPAC11D3.14c	12	1061	16	100	4308	300	0.12	19.4878907119089	0.246285979572888	39.9966187815988	0.00610714517840524	0.0204426707024424	0.487238454288407	0.263095814285698	0.880670253861219	22	90	1
SPAC11D3.15	38	961	11	100	3921	300	0.38	61.7116539210448	0.245090538128029	39.802480179683	0.0281849707460227	0.055242239363553	1.55044745057232	1.10513270295155	2.16604820544491	27	111	1
SPAC11D3.16c	43	323	112	100	945	300	0.43	69.8316083843402	0.341798941798942	55.507836860199	0.0955474664850601	0.184875500420162	1.25804953560372	0.902923558283818	1.74707347897053	36	107	1
SPAC11D3.17	3	461	26	100	3291	300	0.03	4.87197267797722	0.140079003342449	22.7487025680897	0.00167408312144946	0.0208334150244744	0.214164859002169	0.0550940755269017	0.685627688455453	12	91	1
SPAC11D3.18c	54	224	19	100	2031	300	0.54	87.69550820359	0.110290497291974	17.9110763149007	0.177056744857561	0.327526863795878	4.89616071428571	3.59602248805707	6.65207060369428	15	139	7.19086907394963e-12
SPAC11D3.19	37	102	4	100	1210	300	0.37	60.0876630283857	0.084297520661157	13.6898405827459	0.244601153097045	0.536158262690393	4.38921568627451	2.95967395247424	6.48751497855375	10	127	2.39012788442187e-06
SPAC11E3.01c	105	933	60	100	3812	300	1.05	170.519043729203	0.244753410283316	39.7477309247355	0.091484291826361	0.138321804307818	4.29003215434084	3.48738120442088	5.27282718021402	40	165	7.07819030040582e-19
SPAC11E3.02c	10	1095	46	100	3850	300	0.1	16.2399089265907	0.284415584415584	46.1888318821217	0.00462657665178461	0.0174588243318306	0.351598173515982	0.178123201093707	0.672164736775479	24	86	1
SPAC11E3.03	1	67	39	100	987	300	0.01	1.62399089265907	0.0678824721377913	11.0240516522956	0.000768718145976326	0.0990451196584708	0.147313432835821	0.00758724810078634	0.977575331029107	6	95	1
SPAC11E3.04c	34	225	125	100	714	300	0.34	55.2156903504085	0.315126050420168	51.1761835921977	0.103547493037803	0.219501233902681	1.07893333333333	0.739329100289915	1.56723881006514	32	102	1
SPAC11E3.05	19	585	26	100	3997	300	0.19	30.8558269605224	0.146359769827371	23.7686933251328	0.0199707506973886	0.0521883070043231	1.29817094017094	0.798230905374622	2.08596663096279	15	104	1
SPAC11E3.06	10	64	78	100	1847	300	0.1	16.2399089265907	0.0346507850568489	5.62725593558098	0.0754738959713385	0.314180740446432	2.8859375	1.39400285859062	5.80291827604559	3	107	1
SPAC11E3.07	173	517	266	100	1208	300	1.73	280.95042443002	0.427980132450331	69.5035837338362	0.280630971083258	0.398867870161339	4.04224371373308	3.39002213068576	4.81832387154898	81	192	5.85266260591014e-22
SPAC11E3.08c	38	224	14	100	1531	300	0.38	61.7116539210448	0.146309601567603	23.7605460454365	0.118410798232455	0.24210212591125	2.59723214285714	1.81286932093889	3.70658354770124	17	121	0.0518984170513901
SPAC11E3.09	1	264	51	100	1333	300	0.01	1.62399089265907	0.198049512378095	32.1630604397596	0.000197051979154076	0.0247367590002789	0.0504924242424242	0.00262670288212383	0.329740997473718	16	85	1
SPAC11E3.10	22	439	106	100	1069	300	0.22	35.7277996384996	0.41066417212348	66.691487546991	0.0318350997613285	0.0781374528285197	0.535717539863326	0.340317216448602	0.835289370736875	35	87	1
SPAC11E3.11c	50	967	36	100	3255	300	0.5	81.1995446329537	0.297081413210445	48.2457509432051	0.0384885144632283	0.0692713246512169	1.68304033092037	1.25280114577808	2.25478161739711	34	116	1
SPAC11E3.12	13	158	0	100	2724	300	0.13	21.111881604568	0.0580029368575624	9.41962412041607	0.0446830689885246	0.148402554498974	2.24126582278481	1.21716679924741	4.04248558455206	6	107	1
SPAC11E3.13c	218	5712	288	100	2103	300	2.18	354.030014599678	2.71611982881598	441.095386536787	0.0332561909918033	0.0437857218225213	0.802615546218488	0.699377696557623	0.920813729927622	232	86	1
SPAC11E3.14	80	956	78	100	2681	300	0.8	129.919271412726	0.356583364416263	57.9088136285742	0.066152056375987	0.105715889233284	2.24351464435146	1.77353663144021	2.83424299034436	47	133	0.0015930376131753
SPAC11E3.15	339	1466	2001	100	406	300	3.39	550.532912611426	3.61083743842365	586.396711487242	0.205106238246759	0.260671546050022	0.938840381991814	0.83273132728184	1.05832647696309	343	96	1
SPAC11G7.01	79	2313	409	100	2966	300	0.79	128.295280520067	0.779838165879973	126.645007913703	0.0271091837350232	0.0429711974017709	1.01303069606572	0.804058389580789	1.27452571493652	78	101	1
SPAC11G7.02	248	1362	137	100	2923	300	2.48	402.74974137945	0.465959630516593	75.6714196305733	0.15866033189703	0.20892114366015	5.32234948604993	4.63764150135018	6.10676502918618	110	238	1.6271975993719e-43
SPAC11G7.03	25	301	147	100	1164	300	0.25	40.5997723164768	0.258591065292096	41.9949534957372	0.053988230814533	0.126791762099305	0.966777408637874	0.628423006681164	1.47585611083591	25	100	1
SPAC11G7.04	258	332	970	93	363	300	2.7741935483871	450.526505705421	0.914600550964187	148.530296518681	0.658268744956	0.917337078730672	3.03322969296541	2.56937155289277	3.58057375891649	167	184	4.67635989782371e-12
