V4	ePRO_Cdk9as_30sec_r1_pr_counts	ePRO_Cdk9as_30sec_r1gb_counts	ePRO_Cdk9as_30sec_r1term_counts	ePRO_Cdk9as_30sec_r1pr_map	ePRO_Cdk9as_30sec_r1gb_map	ePRO_Cdk9as_30sec_r1term_map	ePRO_Cdk9as_30sec_r1pr_density	ePRO_Cdk9as_30sec_r1pr_densityRPKM	ePRO_Cdk9as_30sec_r1gb_density	ePRO_Cdk9as_30sec_r1gb_densityRPKM	ePRO_Cdk9as_30sec_r1pause_index_CI_low	ePRO_Cdk9as_30sec_r1pause_index_CI_high	ePRO_Cdk9as_30sec_r1pause_index_scaled	ePRO_Cdk9as_30sec_r1pause_index_CI_low_scaled	ePRO_Cdk9as_30sec_r1pause_index_CI_high_scaled	ePRO_Cdk9as_30sec_r1_ExpPR	ePRO_Cdk9as_30sec_r1_ExpGB	ePRO_Cdk9as_30sec_r1Fexact_Pval
SPAC1002.01	31	99	141	100	481	300	0.31	81.4283905599804	0.205821205821206	54.063514623017	0.204874803668434	0.476386713790107	1.50616161616162	0.985447805645166	2.29142009333042	22	109	1
SPAC1002.02	57	147	36	100	837	300	0.57	149.723169739319	0.175627240143369	46.132398397954	0.282225588114228	0.53184504003518	3.24551020408163	2.36222817251609	4.45154298509446	23	134	1.09558335417309e-05
SPAC1002.03c	10	530	127	100	2955	300	0.1	26.267222761284	0.179357021996616	47.1121085058563	0.00952752570023067	0.0361944176529192	0.557547169811321	0.281538384441816	1.06954504164376	16	94	1
SPAC1002.04c	68	144	22	100	641	300	0.68	178.617114776731	0.224648985959438	59.0090495729313	0.350248991615505	0.635940684405534	3.02694444444444	2.24509603625539	4.07637978703947	30	138	1.6342731253868e-05
SPAC1002.05c	11	158	287	100	2086	300	0.11	28.8939450374124	0.0757430488974113	19.8955953800713	0.0358210180861072	0.131731848105686	1.45227848101266	0.747226437276197	2.7479263514846	7	104	1
SPAC1002.06c	6	21	18	100	311	300	0.06	15.7603336567704	0.067524115755627	17.7367099031178	0.103455146530996	0.746225057313577	0.888571428571428	0.321745505711397	2.32075992824522	6	100	1
SPAC1002.07c	30	224	12	100	1084	300	0.3	78.801668283852	0.206642066420664	54.2791319052363	0.0897252151678757	0.198777179981369	1.45178571428571	0.972621332419773	2.15474463099805	22	108	1
SPAC1002.08c	73	278	49	100	1783	300	0.73	191.750726157373	0.155916993830623	40.9550640921871	0.201184235184149	0.342280712938144	4.68197841726619	3.58711491333338	6.10286511168711	23	150	1.18685776437955e-14
SPAC1002.09c	1	887	58	100	2132	300	0.01	2.6267222761284	0.416041275797373	109.282488692584	5.87902063019297e-05	0.00733435578039428	0.0240360766629087	0.00125340719835714	0.156368465238006	29	72	1
SPAC1002.10c	20	104	45	100	1806	300	0.2	52.534445522568	0.0575858250276855	15.1261969389454	0.11559428985118	0.316746871254079	3.47307692307692	2.08763287471232	5.72044849484867	6	114	0.129380841202977
SPAC1002.11	12	266	20	100	1871	300	0.12	31.5206673135408	0.142169962586852	37.3441007723225	0.0241112571521743	0.0824166606917792	0.84406015037594	0.45112162131718	1.54201572154319	13	99	1
SPAC1002.12c	34	308	14	100	1692	300	0.34	89.3085573883656	0.182033096926714	47.815039069004	0.0761647312756293	0.159231073642101	1.86779220779221	1.28870725318365	2.69418976602435	20	114	1
SPAC1002.13c	196	2546	314	100	1829	300	1.96	514.837566121166	1.3920174958994	365.644336523942	0.0663876324584288	0.0892395091937141	1.40802827965436	1.21422979766466	1.63219062315303	172	124	1
SPAC1002.14	5	245	65	100	1485	300	0.05	13.133611380642	0.164983164983165	43.3364954647447	0.00744104792108657	0.0511646629143546	0.303061224489796	0.110499561628136	0.759795244278165	14	91	1
SPAC1002.15c	1	235	11	100	2754	300	0.01	2.6267222761284	0.0853304284676834	22.4139337287645	0.000221275697986664	0.02780806608805	0.117191489361702	0.00609393272255273	0.765834140064898	7	94	1
SPAC1002.16c	0	114	1	100	1906	300	0	0	0.0598111227701994	15.7107208540733	0.000798841240028825	0.0423468476702617	0	0.0152259140349494	0.807130916595188	5	95	1
SPAC1002.17c	0	59	9	100	990	300	0	0	0.0595959595959596	15.6542034637955	0.00154634432682249	0.0824350588536129	0	0.0153088088355427	0.816107082650768	5	95	1
SPAC1002.18	4	125	3	100	1505	300	0.04	10.5068891045136	0.0830564784053156	21.816630200402	0.0100799247228649	0.0896940889225344	0.4816	0.151702867079117	1.34989603828414	7	97	1
SPAC1002.19	0	44	3	100	1563	300	0	0	0.0281509916826615	7.39448369479524	0.00207619104953031	0.11112403209408	0	0.0324508661041587	1.73686862163047	2	98	1
SPAC1002.20	1	9	63	100	548	300	0.01	2.6267222761284	0.0164233576642336	4.31395994254664	0.00526992812214453	0.847902870266008	0.608888888888889	0.028879206109352	4.64650772905772	1	100	1
SPAC1006.01	37	787	127	100	1664	300	0.37	97.1887242167508	0.472956730769231	124.23259803564	0.033310067982544	0.0660662513197988	0.782312579415502	0.554279531229532	1.09934242196145	43	94	1
SPAC1006.02	124	204	12	100	1217	300	1.24	325.713562239922	0.167625308134758	44.0305130920455	0.483248225871371	0.764286150346786	7.39745098039216	5.88113090885459	9.30136244972039	32	192	3.5553067842471e-34
SPAC1006.03c	82	744	59	100	2770	300	0.82	215.391226642529	0.268592057761733	70.551674131391	0.0871352455870246	0.139231692856204	3.05295698924731	2.41364630276058	3.85671789211686	38	144	1.64798941395866e-08
SPAC1006.04c	9	199	96	100	3993	300	0.09	23.6405004851556	0.0498372151264713	13.0908523152905	0.0217232229726178	0.0907598045500752	1.80587939698492	0.867408293296627	3.6240389956845	5	104	1
SPAC1006.05c	68	643	25	100	2032	300	0.68	178.617114776731	0.316437007874016	83.1192137574095	0.0816836712868218	0.136687619461463	2.14892690513219	1.65981220054822	2.77749242745692	40	128	0.0257878939336674
SPAC1006.06	16	881	26	100	4139	300	0.16	42.0275564180544	0.212853346218893	55.9106626061638	0.0106964711395082	0.0303545585392375	0.751691259931896	0.442726940464244	1.25637517793904	20	96	1
SPAC1006.07	56	2417	405	100	1302	300	0.56	147.09644746319	1.85637480798771	487.61810609849	0.0176077080199988	0.0304151855461693	0.301663218866363	0.229252358420385	0.396005715811124	101	55	1
SPAC1006.08	6	206	137	100	1457	300	0.06	15.7603336567704	0.141386410432395	37.1382833824606	0.0116915692938671	0.0677855307859908	0.424368932038835	0.170346164611644	0.987635183551887	13	93	1
SPAC1006.09	120	1168	35	100	4844	300	1.2	315.206673135408	0.2411230388109	63.3363257332364	0.0847439308114565	0.124467800530062	4.97671232876712	4.10499600850695	6.0292202576762	42	178	1.07989638056078e-25
SPAC1039.01	2	225	36	100	2977	300	0.02	5.2534445522568	0.0755794423916695	19.8526204947561	0.00152986595547542	0.0361423576525004	0.264622222222222	0.0455441094945033	1.07595798731494	7	95	1
SPAC1039.02	1	248	39	100	2733	300	0.01	2.6267222761284	0.0907427735089645	23.8356064573671	0.000209718763297275	0.02634193419003	0.110201612903226	0.00573161380091453	0.719925061413519	8	93	1
SPAC1039.03	8	143	7	100	1499	300	0.08	21.0137782090272	0.095396931287525	25.0581244487232	0.0254761258017674	0.117611571911804	0.838601398601399	0.381887125768494	1.76299746295795	9	99	1
SPAC1039.04	1	204	11	100	1844	300	0.01	2.6267222761284	0.110629067245119	29.0591835320062	0.000254752340806337	0.0320636053039781	0.0903921568627451	0.00469763316446886	0.591252881805356	10	91	1
SPAC1039.05c	1	199	28	100	3153	300	0.01	2.6267222761284	0.0631144941325722	16.5784247684603	0.000261124161576367	0.0328750463754475	0.158442211055276	0.00823324481450284	1.03655021221786	5	96	1
SPAC1039.06	2	107	23	100	1966	300	0.02	5.2534445522568	0.0544252288911495	14.295996111177	0.00319465798615693	0.0766788051253727	0.367476635514019	0.0628069760078452	1.50750530876483	5	97	1
SPAC1039.07c	1	134	19	100	1430	300	0.01	2.6267222761284	0.0937062937062937	24.6140409091752	0.000386938729982782	0.0489933860550234	0.106716417910448	0.00553322383875378	0.700605420586834	8	93	1
SPAC1039.08	4	53	0	100	995	300	0.04	10.5068891045136	0.0532663316582915	13.9915859934478	0.0232482768630924	0.217016735298953	0.750943396226415	0.23132035478777	2.15931651622458	5	99	1
SPAC1039.09	0	73	1	100	3060	300	0	0	0.0238562091503268	6.26636359991416	0.0012488776032341	0.0664281626427554	0	0.0382156546589636	2.03270177686831	2	98	1
SPAC1039.10	0	38	14	100	888	300	0	0	0.0427927927927928	11.2404782086576	0.00240594623539958	0.129094305004205	0	0.0213648025703483	1.14635742843734	4	96	1
SPAC1039.11c	0	331	16	100	3471	300	0	0	0.0953615672716796	25.0488353039038	0.00027477752809965	0.0145087268485612	0	0.00953752800033884	0.50359790891356	8	92	1
SPAC105.01c	14	399	15	100	3151	300	0.14	36.7741118657976	0.126626467788004	33.2612563686205	0.0197725677696169	0.0610914596366113	1.10561403508772	0.623033610420628	1.92499189314962	12	102	1
SPAC105.02c	18	458	25	100	1418	300	0.18	47.2810009703112	0.322990126939351	84.8405361401134	0.0237845888356113	0.0641015093937855	0.557292576419214	0.337265469688968	0.908959403203878	28	90	1
