V4	WT_DMSOr2_pr_counts	WT_DMSOr2gb_counts	WT_DMSOr2term_counts	WT_DMSOr2pr_map	WT_DMSOr2gb_map	WT_DMSOr2term_map	WT_DMSOr2pr_density	WT_DMSOr2pr_densityRPKM	WT_DMSOr2gb_density	WT_DMSOr2gb_densityRPKM	WT_DMSOr2pause_index_CI_low	WT_DMSOr2pause_index_CI_high	WT_DMSOr2pause_index_scaled	WT_DMSOr2pause_index_CI_low_scaled	WT_DMSOr2pause_index_CI_high_scaled	WT_DMSOr2_ExpPR	WT_DMSOr2_ExpGB	WT_DMSOr2Fexact_Pval
SPAC1002.01	108	134	166	100	481	300	1.08	128.544265943804	0.278586278586279	33.1580265582307	0.620664525810744	1.04635639870546	3.87671641791045	2.98539636914968	5.03297427777328	45	163	7.10389058684966e-12
SPAC1002.02	76	270	91	100	837	300	0.76	90.4570760345284	0.32258064516129	38.394344666608	0.216413667630202	0.365661585415647	2.356	1.81138239806479	3.06058746992897	42	134	0.00259131548196077
SPAC1002.03c	27	1026	221	100	2955	300	0.27	32.1360664859509	0.347208121827411	41.3255677315104	0.0175968459271303	0.0390759271600919	0.777631578947368	0.519986797146699	1.15469364758072	32	95	1
SPAC1002.04c	125	179	45	100	641	300	1.25	148.778085583106	0.279251170046802	33.2371635811244	0.552130787608669	0.882977190165841	4.47625698324022	3.53915834857157	5.65988378896304	49	176	1.25562173842261e-17
SPAC1002.05c	28	492	324	100	2086	300	0.28	33.3262911706157	0.235858101629914	28.0724134638114	0.0381194710963035	0.0844042768582021	1.18715447154472	0.795172167068891	1.7606732152621	24	104	1
SPAC1002.06c	23	47	30	100	311	300	0.23	27.3751677472915	0.15112540192926	17.9873183856102	0.288315155045473	0.825852206458547	1.52191489361702	0.896660132191422	2.56840036208608	16	107	1
SPAC1002.07c	37	271	55	100	1084	300	0.37	44.0383133325994	0.25	29.7556171166212	0.095322571218717	0.194749092260014	1.48	1.03329667201089	2.11108016009855	27	110	1
SPAC1002.08c	147	418	152	100	1783	300	1.47	174.963028645733	0.234436343241727	27.9031922708865	0.290101126591742	0.426136841321543	6.27035885167464	5.17250308713076	7.59801988076311	46	201	2.25776335859296e-35
SPAC1002.09c	17	1669	111	100	2132	300	0.17	20.2338196393024	0.782833020637899	93.1747185133973	0.00611397244782086	0.0167265924246554	0.217159976033553	0.130349892587541	0.356610950493653	51	66	1
SPAC1002.10c	36	283	156	100	1806	300	0.36	42.8480886479345	0.156699889258029	18.6508076279154	0.0884892213950087	0.182079106834197	2.2973851590106	1.59811533839386	3.28834866942559	18	118	0.594771683247154
SPAC1002.11	18	580	188	100	1871	300	0.18	21.4240443239673	0.309994655264564	36.8963290810054	0.0188197314435148	0.0505126060585893	0.580655172413793	0.352117175308163	0.945090859356206	27	91	1
SPAC1002.12c	185	485	83	100	1692	300	1.85	220.191566662997	0.286643026004728	34.1169605237855	0.320832368161825	0.453373949237399	6.4540206185567	5.42848366929808	7.67108722109679	63	222	2.66602891318286e-42
SPAC1002.13c	1283	9288	1661	100	1829	300	12.83	1527.058270425	5.0781848004374	604.418090277042	0.130244354835059	0.146501278293856	2.52649332472007	2.38216924993324	2.67950837999462	1155	228	1.3312183122109e-18
SPAC1002.14	29	582	210	100	1485	300	0.29	34.5165158552806	0.391919191919192	46.6471896616122	0.0336664459013894	0.0732850254019278	0.739948453608247	0.499946721635632	1.08828262721863	36	93	1
SPAC1002.15c	17	502	19	100	2754	300	0.17	20.2338196393024	0.182280319535222	21.6954535839417	0.0202051428210099	0.0559566960158804	0.932629482071713	0.556449633290613	1.54104740827735	18	99	1
