V4	ePRO_Lsk1as_Cdk9as_DMSOr1_pr_counts	ePRO_Lsk1as_Cdk9as_DMSOr1gb_counts	ePRO_Lsk1as_Cdk9as_DMSOr1term_counts	ePRO_Lsk1as_Cdk9as_DMSOr1pr_map	ePRO_Lsk1as_Cdk9as_DMSOr1gb_map	ePRO_Lsk1as_Cdk9as_DMSOr1term_map	ePRO_Lsk1as_Cdk9as_DMSOr1pr_density	ePRO_Lsk1as_Cdk9as_DMSOr1pr_densityRPKM	ePRO_Lsk1as_Cdk9as_DMSOr1gb_density	ePRO_Lsk1as_Cdk9as_DMSOr1gb_densityRPKM	ePRO_Lsk1as_Cdk9as_DMSOr1pause_index_CI_low	ePRO_Lsk1as_Cdk9as_DMSOr1pause_index_CI_high	ePRO_Lsk1as_Cdk9as_DMSOr1pause_index_scaled	ePRO_Lsk1as_Cdk9as_DMSOr1pause_index_CI_low_scaled	ePRO_Lsk1as_Cdk9as_DMSOr1pause_index_CI_high_scaled	ePRO_Lsk1as_Cdk9as_DMSOr1_ExpPR	ePRO_Lsk1as_Cdk9as_DMSOr1_ExpGB	ePRO_Lsk1as_Cdk9as_DMSOr1Fexact_Pval
SPAC1002.01	22	32	60	100	481	300	0.22	74.4894846241853	0.0665280665280665	22.5256426759963	0.38615285613038	1.21913290478067	3.306875	1.85739523798713	5.86402927199501	7	115	0.677938440263382
SPAC1002.02	26	98	48	100	837	300	0.26	88.0330272831281	0.117084826762246	39.6435836492351	0.168050475167921	0.416209148286218	2.22061224489796	1.40658247715549	3.48367057115565	13	113	1
SPAC1002.03c	53	276	70	100	2955	300	0.53	179.451940230992	0.0934010152284264	31.6245158533689	0.141507385786963	0.259988709084976	5.67445652173913	4.18154325000476	7.68266635346104	13	140	2.46308782584969e-14
SPAC1002.04c	45	82	7	100	641	300	0.45	152.364854913106	0.12792511700468	43.3139819825783	0.375364251774053	0.800807087783759	3.51768292682927	2.40608485387168	5.1331734326939	16	129	0.00010318147991936
SPAC1002.05c	2	156	186	100	2086	300	0.02	6.77177132947139	0.074784276126558	25.3211008484549	0.0022003627673571	0.0523146397279398	0.267435897435897	0.0458995673270691	1.09128338472482	7	95	1
SPAC1002.06c	14	28	18	100	311	300	0.14	47.4023993062997	0.090032154340836	30.4838580747908	0.250582377344401	0.985895319610161	1.555	0.779311193541088	3.0661344439876	9	105	1
SPAC1002.07c	36	83	25	100	1084	300	0.36	121.891883930485	0.0765682656826568	25.9251393148582	0.287786524642028	0.651626858719966	4.70168674698795	3.11960592711958	7.06363514852443	9	127	1.24965494026866e-06
SPAC1002.08c	39	122	86	100	1783	300	0.39	132.049540924692	0.06842400448682	23.1675855915735	0.219230593124034	0.464622343906805	5.69975409836066	3.90888147540153	8.28421639185833	8	131	5.49745216464034e-10
SPAC1002.09c	6	467	57	100	2132	300	0.06	20.3153139884142	0.219043151969981	74.1655068213682	0.00519366644835985	0.0296738940359302	0.273918629550321	0.110728968679032	0.632647420846032	19	87	1
SPAC1002.10c	3	95	58	100	1806	300	0.03	10.1576569942071	0.0526024363233666	17.8105835077459	0.00800281390840163	0.102899050646916	0.570315789473684	0.144530819185733	1.85835685468329	5	98	1
SPAC1002.11	13	100	33	100	1871	300	0.13	44.016513641564	0.0534473543559594	18.0966630931892	0.0696616371720645	0.237785781469758	2.4323	1.30336923148933	4.44897197129917	5	108	1
SPAC1002.12c	31	169	51	100	1692	300	0.31	104.962455606807	0.0998817966903073	33.8188343581757	0.122667029849496	0.27287342013923	3.10366863905325	2.07552614505348	4.61701826875577	11	120	0.0122987893893034
SPAC1002.13c	233	1892	931	100	1829	300	2.33	788.911359883417	1.03444505194095	350.251267232364	0.107220771495326	0.141409222573645	2.25241543340381	1.9610679106495	2.58637468087196	169	164	5.35058472092894e-08
SPAC1002.14	14	155	72	100	1485	300	0.14	47.4023993062997	0.104377104377104	35.3408941437059	0.0501299372826732	0.1597701608101	1.34129032258064	0.744429568647697	2.37258688802999	10	104	1
SPAC1002.15c	5	153	7	100	2754	300	0.05	16.9294283236785	0.0555555555555556	18.8104759151983	0.011846875530979	0.0824544482937342	0.9	0.326262952123163	2.27079550600944	5	100	1
SPAC1002.16c	1	59	9	100	1906	300	0.01	3.3858856647357	0.0309548793284365	10.4809682171777	0.000871375735237544	0.112803364965006	0.323050847457627	0.0166084215136276	2.15003213623301	3	98	1
SPAC1002.17c	0	18	7	100	990	300	0	0	0.0181818181818182	6.1561557540649	0.00511285240857114	0.280011224227739	0	0.0506172388448542	2.77211111985461	1	99	1
SPAC1002.18	0	48	8	100	1505	300	0	0	0.0318936877076412	10.7988380004859	0.0019023677648798	0.101687091822644	0	0.028630634861441	1.5303907319308	3	97	1
SPAC1002.19	4	42	11	100	1563	300	0.04	13.5435426589428	0.0268714011516315	9.09834919506713	0.029046161269645	0.277026853875976	1.48857142857143	0.453991500644551	4.3299297260815	2	102	1
SPAC1002.20	0	9	47	100	548	300	0	0	0.0164233576642336	5.56076112821556	0.0103569347612096	0.590306163886248	0	0.0567560024914284	3.23487777809664	1	99	1
SPAC1006.01	9	657	178	100	1664	300	0.09	30.4729709826213	0.394831730769231	133.685509719432	0.00665298701659808	0.0271705630003648	0.227945205479452	0.110705703956192	0.45211816832607	30	79	1
SPAC1006.02	142	173	33	100	1217	300	1.42	480.795764392469	0.14215283483977	48.1313245685518	0.653484860841178	1.03082928731035	9.9892485549133	7.95291075643713	12.5451924265669	30	212	1.15931771134982e-47
